field,total,missing,missing_rate
video_id,3624,0,0.0
stats.video_name,3624,0,0.0
stats.num_shots,3624,0,0.0
stats.avg_shot_len_sec,3624,0,0.0
stats.cuts_per_30s,3624,0,0.0
stats.lighting.s_mean,3624,0,0.0
stats.lighting.v_mean,3624,0,0.0
stats.lighting.v_std,3624,0,0.0
stats.movement_counts.static_shot,3624,0,0.0
stats.movement_counts.pan_horizontal,3624,0,0.0
stats.movement_counts.tilt_vertical,3624,0,0.0
stats.movement_counts.dolly_in,3624,0,0.0
stats.movement_counts.dolly_out,3624,0,0.0
stats.editing_rhythm_guess,3624,0,0.0
stats.lighting.quality,3624,0,0.0
stats.lighting.condition,3624,0,0.0
stats.lighting.color_temperature,3624,0,0.0
analysis.video_analysis.editing_rhythm,3624,0,0.0
analysis.video_analysis.color_tone,3624,0,0.0
analysis.video_analysis.lighting_style,3624,0,0.0
analysis.video_analysis.confidence_score,3624,0,0.0
analysis.video_analysis.shot_types,3624,0,0.0
analysis.video_analysis.camera_movements,3624,0,0.0
analysis.video_analysis.composition_styles,3624,0,0.0
analysis.video_analysis.overall_style,3624,0,0.0
analysis.style_tags,3624,0,0.0
