field,chi2,p_value,dof,n_categories
analysis.style_tags,232.95359848676918,1.2161884784298437e-35,25,26
stats.editing_rhythm_guess,123.5133479396406,1.3511038105998139e-26,3,4
analysis.video_analysis.editing_rhythm,123.5133479396406,1.3511038105998139e-26,3,4
analysis.video_analysis.camera_movements,64.3973110636187,3.446847537912276e-13,4,5
stats.lighting.condition,17.257991296908905,0.00017884417741926865,2,3
stats.lighting.quality,17.208951993809215,0.00018328357819468434,2,3
analysis.video_analysis.lighting_style,17.208951993809215,0.00018328357819468434,2,3
stats.lighting.color_temperature,11.91406407507425,0.0025875804281334544,2,3
analysis.video_analysis.color_tone,11.91406407507425,0.0025875804281334544,2,3
analysis.video_analysis.overall_style,4.773619891339833,0.31132388237160213,4,5
analysis.video_analysis.shot_types,2.0575966760283046,0.35743622012313636,2,3
analysis.video_analysis.composition_styles,0.32566112089877414,0.9551322317041057,3,4
