value,label=0,label=1
cinematic_style,2.0,4.0
cool_tone,487.0,575.0
documentary_style,1808.0,1811.0
dolly_in,210.0,118.0
dolly_out,130.0,63.0
fast,183.0,299.0
high_contrast,1186.0,1090.0
long_shot,5.0,7.0
medium_contrast,558.0,673.0
medium_shot,1802.0,1805.0
moderate,206.0,343.0
narrative_style,1801.0,1806.0
natural_light,2.0,0.0
negative_space,0.0,1.0
neutral_tone,2.0,0.0
pan_horizontal,176.0,197.0
rule_of_thirds,1802.0,1807.0
slow,1214.0,892.0
soft_low_contrast,65.0,49.0
static_shot,1034.0,1247.0
symmetrical_composition,1.0,1.0
tense_mood,0.0,2.0
tilt_vertical,202.0,172.0
very_fast,198.0,272.0
warm_mood,1317.0,1237.0
warm_tone,1318.0,1237.0
