video_id,stats.num_shots,stats.avg_shot_len_sec,stats.cuts_per_30s,stats.lighting.s_mean,stats.lighting.v_mean,stats.lighting.v_std,stats.movement_counts.static_shot,stats.movement_counts.pan_horizontal,stats.movement_counts.tilt_vertical,stats.movement_counts.dolly_in,stats.movement_counts.dolly_out,analysis.video_analysis.confidence_score,stats.editing_rhythm_guess,analysis.video_analysis.editing_rhythm,stats.lighting.quality,stats.lighting.condition,stats.lighting.color_temperature,analysis.video_analysis.color_tone,analysis.video_analysis.lighting_style,analysis.video_analysis.shot_types,analysis.video_analysis.camera_movements,analysis.video_analysis.composition_styles,analysis.video_analysis.overall_style,analysis.style_tags,label,label_str
3x252r556a2924a,3.0,3.533,5.618,0.356,0.561,0.426,1.0,0.0,2.0,0.0,0.0,0.3,fast,fast,high_contrast,overcast_neutral,warm_tone,warm_tone,high_contrast,medium_shot,tilt_vertical,rule_of_thirds,documentary_style|narrative_style|warm_mood,high_contrast|narrative_style|rule_of_thirds|medium_shot|tilt_vertical|documentary_style|fast|warm_mood|warm_tone,1,真
3x25ybraqeighzm,1.0,10.76,0.0,0.214,0.31,0.296,1.0,0.0,0.0,0.0,0.0,0.3,slow,slow,high_contrast,dim_low_light,warm_tone,warm_tone,high_contrast,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style|warm_mood,high_contrast|narrative_style|static_shot|slow|rule_of_thirds|medium_shot|documentary_style|warm_mood|warm_tone,0,假
3x27f5qs8sye8jy,1.0,7.16,0.0,0.363,0.838,0.161,1.0,0.0,0.0,0.0,0.0,0.3,slow,slow,medium_contrast,bright_sunny,cool_tone,cool_tone,medium_contrast,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style,narrative_style|static_shot|cool_tone|slow|rule_of_thirds|medium_shot|documentary_style|medium_contrast,1,真
3x29qa3tdevpjby,4.0,7.69,2.915,0.154,0.223,0.276,2.0,1.0,0.0,1.0,0.0,0.3,slow,slow,high_contrast,dim_low_light,warm_tone,warm_tone,high_contrast,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style|warm_mood,high_contrast|narrative_style|static_shot|slow|rule_of_thirds|medium_shot|documentary_style|warm_mood|warm_tone,1,真
3x2cmdj3f78srsm,13.0,0.926,28.955,0.124,0.555,0.239,3.0,3.0,4.0,2.0,1.0,0.3,very_fast,very_fast,high_contrast,overcast_neutral,cool_tone,cool_tone,high_contrast,medium_shot,tilt_vertical,rule_of_thirds,documentary_style|narrative_style,high_contrast|narrative_style|cool_tone|rule_of_thirds|medium_shot|tilt_vertical|documentary_style|very_fast,1,真
3x2e58x2qjtxkj6,1.0,13.5,0.0,0.214,0.256,0.295,1.0,0.0,0.0,0.0,0.0,0.3,slow,slow,high_contrast,dim_low_light,warm_tone,warm_tone,high_contrast,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style|warm_mood,high_contrast|narrative_style|static_shot|slow|rule_of_thirds|medium_shot|documentary_style|warm_mood|warm_tone,1,真
3x2gz8xbnubcjzu,25.0,5.96,4.806,0.364,0.512,0.247,9.0,10.0,5.0,1.0,0.0,0.3,moderate,moderate,high_contrast,overcast_neutral,warm_tone,warm_tone,high_contrast,medium_shot,pan_horizontal,rule_of_thirds,documentary_style|narrative_style|warm_mood,high_contrast|narrative_style|pan_horizontal|rule_of_thirds|medium_shot|documentary_style|moderate|warm_mood|warm_tone,1,真
3x2hqy3c9hdfr46,6.0,9.933,2.51,0.187,0.364,0.321,6.0,0.0,0.0,0.0,0.0,0.3,slow,slow,high_contrast,dim_low_light,warm_tone,warm_tone,high_contrast,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style|warm_mood,high_contrast|narrative_style|static_shot|slow|rule_of_thirds|medium_shot|documentary_style|warm_mood|warm_tone,1,真
3x2ijm5pkxhhv2i,11.0,10.977,2.481,0.076,0.424,0.227,2.0,1.0,0.0,3.0,5.0,0.3,slow,slow,medium_contrast,dim_low_light,warm_tone,warm_tone,medium_contrast,medium_shot,dolly_out,rule_of_thirds,documentary_style|narrative_style|warm_mood,dolly_out|narrative_style|slow|rule_of_thirds|medium_shot|documentary_style|medium_contrast|warm_mood|warm_tone,0,假
3x2j4qjgpky2tfw,2.0,8.3,1.804,0.159,0.345,0.216,2.0,0.0,0.0,0.0,0.0,0.3,slow,slow,medium_contrast,dim_low_light,cool_tone,cool_tone,medium_contrast,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style,narrative_style|static_shot|cool_tone|slow|rule_of_thirds|medium_shot|documentary_style|medium_contrast,1,真
