,stats.num_shots,stats.avg_shot_len_sec,stats.cuts_per_30s,stats.lighting.s_mean,stats.lighting.v_mean,stats.lighting.v_std,stats.movement_counts.static_shot,stats.movement_counts.pan_horizontal,stats.movement_counts.tilt_vertical,stats.movement_counts.dolly_in,stats.movement_counts.dolly_out,analysis.video_analysis.confidence_score
stats.num_shots,1.0,-0.18871301180339659,0.47929076396870207,0.012949939004521656,0.007419460453179276,-0.1030120364342822,0.8102678009868968,0.7478870363258382,0.7629714315541891,0.7056338895480334,0.7031495493341343,-0.023788729401390887
stats.avg_shot_len_sec,-0.18871301180339659,1.0,-0.33036810080201007,-0.0662502040406345,-0.10274387606818379,0.1465515317535539,-0.16943460471721983,-0.1427827022138231,-0.14381777662850567,-0.11825231110756103,-0.110915373350818,0.013643226465517466
stats.cuts_per_30s,0.47929076396870207,-0.33036810080201007,1.0,0.014733308397891012,0.041508066179034526,-0.128278113038684,0.4339725311895298,0.342485095235142,0.37491439221935796,0.27110623937884504,0.2939269902070705,-0.009817977151423997
stats.lighting.s_mean,0.012949939004521656,-0.0662502040406345,0.014733308397891012,1.0,0.026366358719596316,-0.003784160744019391,0.019682203771892937,0.02606828943930011,0.002335911602314133,-0.002019802668158484,-0.011901548551325063,-0.015588828666754472
stats.lighting.v_mean,0.007419460453179276,-0.10274387606818379,0.041508066179034526,0.026366358719596316,1.0,-0.19749099686958546,0.012984987722164311,-0.02691635987988875,0.023271801520550844,0.008827428174919421,0.00324743077804985,-0.010450634759801418
stats.lighting.v_std,-0.1030120364342822,0.1465515317535539,-0.128278113038684,-0.003784160744019391,-0.19749099686958546,1.0,-0.06277822834135023,-0.07594842316964898,-0.075635136991537,-0.11881800698830916,-0.09035616585645041,0.0023890229651034375
stats.movement_counts.static_shot,0.8102678009868968,-0.16943460471721983,0.4339725311895298,0.019682203771892937,0.012984987722164311,-0.06277822834135023,1.0,0.428080164696215,0.4087700923395,0.3152792679160029,0.3319845562208679,-0.008573912064788556
stats.movement_counts.pan_horizontal,0.7478870363258382,-0.1427827022138231,0.342485095235142,0.02606828943930011,-0.02691635987988875,-0.07594842316964898,0.428080164696215,1.0,0.6420296898149299,0.4648100240882991,0.4841889235302131,-0.02758801036557338
stats.movement_counts.tilt_vertical,0.7629714315541891,-0.14381777662850567,0.37491439221935796,0.002335911602314133,0.023271801520550844,-0.075635136991537,0.4087700923395,0.6420296898149299,1.0,0.5511343167802467,0.5291914932565802,-0.026290049865139484
stats.movement_counts.dolly_in,0.7056338895480334,-0.11825231110756103,0.27110623937884504,-0.002019802668158484,0.008827428174919421,-0.11881800698830916,0.3152792679160029,0.4648100240882991,0.5511343167802467,1.0,0.7443812975746661,-0.026551040941758666
stats.movement_counts.dolly_out,0.7031495493341343,-0.110915373350818,0.2939269902070705,-0.011901548551325063,0.00324743077804985,-0.09035616585645041,0.3319845562208679,0.4841889235302131,0.5291914932565802,0.7443812975746661,1.0,-0.02173516229148941
analysis.video_analysis.confidence_score,-0.023788729401390887,0.013643226465517466,-0.009817977151423997,-0.015588828666754472,-0.010450634759801418,0.0023890229651034375,-0.008573912064788556,-0.02758801036557338,-0.026290049865139484,-0.026551040941758666,-0.02173516229148941,1.0
