field,mean,std,min,max,n
analysis.video_analysis.confidence_score,0.30238686534216336,0.0339336333928277,0.3,0.85,3624
stats.lighting.v_std,0.2519599889624724,0.07063457722263401,0.0,0.48,3624
stats.lighting.s_mean,0.278858995584989,0.16555066981007235,0.0,0.987,3624
stats.lighting.v_mean,0.49981181015452536,0.18646399174988293,0.0,1.0,3624
stats.movement_counts.dolly_out,0.48951434878587197,1.397486164798875,0.0,21.0,3624
stats.movement_counts.dolly_in,0.6578366445916115,1.7432269023069675,0.0,21.0,3624
stats.movement_counts.tilt_vertical,0.7582781456953642,1.8746424191647935,0.0,34.0,3624
stats.movement_counts.pan_horizontal,0.7350993377483444,1.8747486989005675,0.0,41.0,3624
stats.movement_counts.static_shot,2.410596026490066,4.412958395177357,0.0,83.0,3624
stats.cuts_per_30s,3.531703918322296,4.848929335891856,0.0,47.872,3624
stats.num_shots,5.113686534216336,8.627910488668158,1.0,140.0,3624
stats.avg_shot_len_sec,16.705310982339956,27.923607346166577,0.556,271.367,3624
