video_id,stats.video_name,stats.num_shots,stats.avg_shot_len_sec,stats.cuts_per_30s,stats.lighting.s_mean,stats.lighting.v_mean,stats.lighting.v_std,stats.movement_counts.static_shot,stats.movement_counts.pan_horizontal,stats.movement_counts.tilt_vertical,stats.movement_counts.dolly_in,stats.movement_counts.dolly_out,stats.editing_rhythm_guess,stats.lighting.quality,stats.lighting.condition,stats.lighting.color_temperature,analysis.video_analysis.editing_rhythm,analysis.video_analysis.color_tone,analysis.video_analysis.lighting_style,analysis.video_analysis.confidence_score,analysis.video_analysis.shot_types,analysis.video_analysis.camera_movements,analysis.video_analysis.composition_styles,analysis.video_analysis.overall_style,analysis.style_tags
3x252r556a2924a,3x252r556a2924a.mp4,3.0,3.533,5.618,0.356,0.561,0.426,1.0,0.0,2.0,0.0,0.0,fast,high_contrast,overcast_neutral,warm_tone,fast,warm_tone,high_contrast,0.3,medium_shot,tilt_vertical,rule_of_thirds,documentary_style|narrative_style|warm_mood,high_contrast|narrative_style|rule_of_thirds|medium_shot|tilt_vertical|documentary_style|fast|warm_mood|warm_tone
3x25ybraqeighzm,3x25ybraqeighzm.mp4,1.0,10.76,0.0,0.214,0.31,0.296,1.0,0.0,0.0,0.0,0.0,slow,high_contrast,dim_low_light,warm_tone,slow,warm_tone,high_contrast,0.3,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style|warm_mood,high_contrast|narrative_style|static_shot|slow|rule_of_thirds|medium_shot|documentary_style|warm_mood|warm_tone
3x27f5qs8sye8jy,3x27f5qs8sye8jy.mp4,1.0,7.16,0.0,0.363,0.838,0.161,1.0,0.0,0.0,0.0,0.0,slow,medium_contrast,bright_sunny,cool_tone,slow,cool_tone,medium_contrast,0.3,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style,narrative_style|static_shot|cool_tone|slow|rule_of_thirds|medium_shot|documentary_style|medium_contrast
3x29qa3tdevpjby,3x29qa3tdevpjby.mp4,4.0,7.69,2.915,0.154,0.223,0.276,2.0,1.0,0.0,1.0,0.0,slow,high_contrast,dim_low_light,warm_tone,slow,warm_tone,high_contrast,0.3,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style|warm_mood,high_contrast|narrative_style|static_shot|slow|rule_of_thirds|medium_shot|documentary_style|warm_mood|warm_tone
3x2cmdj3f78srsm,3x2cmdj3f78srsm.mp4,13.0,0.926,28.955,0.124,0.555,0.239,3.0,3.0,4.0,2.0,1.0,very_fast,high_contrast,overcast_neutral,cool_tone,very_fast,cool_tone,high_contrast,0.3,medium_shot,tilt_vertical,rule_of_thirds,documentary_style|narrative_style,high_contrast|narrative_style|cool_tone|rule_of_thirds|medium_shot|tilt_vertical|documentary_style|very_fast
3x2e58x2qjtxkj6,3x2e58x2qjtxkj6.mp4,1.0,13.5,0.0,0.214,0.256,0.295,1.0,0.0,0.0,0.0,0.0,slow,high_contrast,dim_low_light,warm_tone,slow,warm_tone,high_contrast,0.3,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style|warm_mood,high_contrast|narrative_style|static_shot|slow|rule_of_thirds|medium_shot|documentary_style|warm_mood|warm_tone
3x2gz8xbnubcjzu,3x2gz8xbnubcjzu.mp4,25.0,5.96,4.806,0.364,0.512,0.247,9.0,10.0,5.0,1.0,0.0,moderate,high_contrast,overcast_neutral,warm_tone,moderate,warm_tone,high_contrast,0.3,medium_shot,pan_horizontal,rule_of_thirds,documentary_style|narrative_style|warm_mood,high_contrast|narrative_style|pan_horizontal|rule_of_thirds|medium_shot|documentary_style|moderate|warm_mood|warm_tone
3x2hqy3c9hdfr46,3x2hqy3c9hdfr46.mp4,6.0,9.933,2.51,0.187,0.364,0.321,6.0,0.0,0.0,0.0,0.0,slow,high_contrast,dim_low_light,warm_tone,slow,warm_tone,high_contrast,0.3,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style|warm_mood,high_contrast|narrative_style|static_shot|slow|rule_of_thirds|medium_shot|documentary_style|warm_mood|warm_tone
3x2ijm5pkxhhv2i,3x2ijm5pkxhhv2i.mp4,11.0,10.977,2.481,0.076,0.424,0.227,2.0,1.0,0.0,3.0,5.0,slow,medium_contrast,dim_low_light,warm_tone,slow,warm_tone,medium_contrast,0.3,medium_shot,dolly_out,rule_of_thirds,documentary_style|narrative_style|warm_mood,dolly_out|narrative_style|slow|rule_of_thirds|medium_shot|documentary_style|medium_contrast|warm_mood|warm_tone
3x2j4qjgpky2tfw,3x2j4qjgpky2tfw.mp4,2.0,8.3,1.804,0.159,0.345,0.216,2.0,0.0,0.0,0.0,0.0,slow,medium_contrast,dim_low_light,cool_tone,slow,cool_tone,medium_contrast,0.3,medium_shot,static_shot,rule_of_thirds,documentary_style|narrative_style,narrative_style|static_shot|cool_tone|slow|rule_of_thirds|medium_shot|documentary_style|medium_contrast
