feature,slice_value,support,base_error_rate,lens_error_rate,delta_error
analysis.style_tags,cool_tone|dolly_in|medium_shot|high_contrast|documentary_style|slow|rule_of_thirds|narrative_style,8,0.0,0.125,0.125
analysis.style_tags,cool_tone|dolly_in|medium_shot|medium_contrast|documentary_style|slow|rule_of_thirds|narrative_style,3,0.0,0.0,0.0
analysis.style_tags,cool_tone|dolly_in|very_fast|medium_shot|high_contrast|documentary_style|rule_of_thirds|narrative_style,1,0.0,0.0,0.0
analysis.style_tags,cool_tone|dolly_in|very_fast|medium_shot|medium_contrast|documentary_style|rule_of_thirds|narrative_style,1,0.0,0.0,0.0
analysis.style_tags,cool_tone|fast|dolly_in|medium_shot|high_contrast|documentary_style|rule_of_thirds|narrative_style,6,0.0,0.0,0.0
analysis.style_tags,cool_tone|fast|static_shot|medium_shot|high_contrast|documentary_style|rule_of_thirds|narrative_style,16,0.0625,0.0625,0.0
analysis.style_tags,cool_tone|fast|static_shot|medium_shot|medium_contrast|documentary_style|rule_of_thirds|narrative_style,5,0.6,0.6,0.0
analysis.style_tags,cool_tone|medium_shot|documentary_style|tilt_vertical|slow|soft_low_contrast|rule_of_thirds|narrative_style,1,0.0,0.0,0.0
analysis.style_tags,cool_tone|medium_shot|high_contrast|documentary_style|tilt_vertical|slow|rule_of_thirds|narrative_style,4,0.25,0.25,0.0
analysis.style_tags,cool_tone|medium_shot|medium_contrast|documentary_style|slow|rule_of_thirds|narrative_style|dolly_out,2,0.0,0.0,0.0
analysis.style_tags,cool_tone|medium_shot|medium_contrast|documentary_style|tilt_vertical|slow|rule_of_thirds|narrative_style,2,0.0,0.0,0.0
analysis.style_tags,cool_tone|slow|narrative_style|rule_of_thirds|documentary_style|high_contrast|medium_shot,2,0.0,0.0,0.0
analysis.style_tags,cool_tone|slow|narrative_style|rule_of_thirds|documentary_style|medium_contrast|medium_shot,1,0.0,0.0,0.0
analysis.style_tags,cool_tone|static_shot|medium_shot|documentary_style|slow|soft_low_contrast|rule_of_thirds|narrative_style,1,0.0,0.0,0.0
analysis.style_tags,cool_tone|static_shot|medium_shot|high_contrast|documentary_style|slow|rule_of_thirds|narrative_style,25,0.16,0.16,0.0
analysis.style_tags,cool_tone|static_shot|medium_shot|high_contrast|moderate|documentary_style|rule_of_thirds|narrative_style,6,0.0,0.16666666666666666,0.16666666666666666
analysis.style_tags,cool_tone|static_shot|medium_shot|medium_contrast|documentary_style|slow|rule_of_thirds|narrative_style,25,0.04,0.04,0.0
analysis.style_tags,cool_tone|static_shot|medium_shot|medium_contrast|moderate|documentary_style|rule_of_thirds|narrative_style,5,0.4,0.4,0.0
analysis.style_tags,cool_tone|static_shot|medium_shot|moderate|documentary_style|soft_low_contrast|rule_of_thirds|narrative_style,1,0.0,0.0,0.0
analysis.style_tags,cool_tone|static_shot|very_fast|medium_shot|high_contrast|documentary_style|rule_of_thirds|narrative_style,8,0.125,0.125,0.0
analysis.style_tags,cool_tone|static_shot|very_fast|medium_shot|medium_contrast|documentary_style|rule_of_thirds|narrative_style,8,0.0,0.0,0.0
analysis.style_tags,cool_tone|very_fast|medium_shot|high_contrast|documentary_style|rule_of_thirds|narrative_style|dolly_out,1,1.0,1.0,0.0
analysis.style_tags,cool_tone|very_fast|medium_shot|medium_contrast|documentary_style|tilt_vertical|rule_of_thirds|narrative_style,1,0.0,0.0,0.0
analysis.style_tags,dolly_in|medium_shot|high_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone,18,0.16666666666666666,0.16666666666666666,0.0
