feature,slice_value,support,base_error_rate
stats.num_shots,"(0.999, 2.0]",282,0.15602836879432624
stats.num_shots,"(2.0, 6.0]",146,0.15753424657534246
stats.num_shots,"(6.0, 140.0]",114,0.16666666666666666
stats.avg_shot_len_sec,"(0.612, 4.331]",136,0.14705882352941177
stats.avg_shot_len_sec,"(4.331, 8.884]",135,0.2074074074074074
stats.avg_shot_len_sec,"(8.884, 23.025]",135,0.2074074074074074
stats.avg_shot_len_sec,"(23.025, 265.165]",136,0.07352941176470588
stats.cuts_per_30s,"(-0.001, 1.78]",271,0.12915129151291513
stats.cuts_per_30s,"(1.78, 5.064]",135,0.21481481481481482
stats.cuts_per_30s,"(5.064, 42.308]",136,0.16176470588235295
stats.lighting.s_mean,"(-0.001, 0.168]",137,0.10218978102189781
stats.lighting.s_mean,"(0.168, 0.27]",134,0.17164179104477612
stats.lighting.s_mean,"(0.27, 0.408]",135,0.18518518518518517
stats.lighting.s_mean,"(0.408, 0.915]",136,0.17647058823529413
stats.lighting.v_mean,"(-0.001, 0.368]",136,0.125
stats.lighting.v_mean,"(0.368, 0.51]",135,0.14814814814814814
stats.lighting.v_mean,"(0.51, 0.618]",135,0.15555555555555556
stats.lighting.v_mean,"(0.618, 1.0]",136,0.20588235294117646
stats.lighting.v_std,"(-0.001, 0.209]",140,0.18571428571428572
stats.lighting.v_std,"(0.209, 0.256]",132,0.16666666666666666
stats.lighting.v_std,"(0.256, 0.297]",134,0.1044776119402985
stats.lighting.v_std,"(0.297, 0.468]",136,0.17647058823529413
stats.movement_counts.static_shot,"(-0.001, 1.0]",291,0.16494845360824742
stats.movement_counts.static_shot,"(1.0, 3.0]",125,0.136
stats.movement_counts.static_shot,"(3.0, 64.0]",126,0.16666666666666666
stats.movement_counts.pan_horizontal,"(-0.001, 1.0]",455,0.15604395604395604
stats.movement_counts.pan_horizontal,"(1.0, 41.0]",87,0.1724137931034483
stats.movement_counts.tilt_vertical,"(-0.001, 1.0]",476,0.15756302521008403
stats.movement_counts.tilt_vertical,"(1.0, 34.0]",66,0.16666666666666666
stats.movement_counts.dolly_in,"(-0.001, 1.0]",484,0.15702479338842976
stats.movement_counts.dolly_in,"(1.0, 21.0]",58,0.1724137931034483
stats.editing_rhythm_guess,fast,68,0.19117647058823528
stats.editing_rhythm_guess,moderate,67,0.208955223880597
stats.editing_rhythm_guess,slow,336,0.1488095238095238
stats.editing_rhythm_guess,very_fast,71,0.1267605633802817
stats.lighting.quality,high_contrast,351,0.14814814814814814
stats.lighting.quality,medium_contrast,173,0.19653179190751446
stats.lighting.quality,soft_low_contrast,18,0.0
stats.lighting.condition,bright_sunny,62,0.1774193548387097
stats.lighting.condition,dim_low_light,210,0.11428571428571428
stats.lighting.condition,overcast_neutral,270,0.18888888888888888
stats.lighting.color_temperature,cool_tone,171,0.1111111111111111
stats.lighting.color_temperature,warm_tone,371,0.18059299191374664
analysis.video_analysis.editing_rhythm,fast,68,0.19117647058823528
analysis.video_analysis.editing_rhythm,moderate,67,0.208955223880597
analysis.video_analysis.editing_rhythm,slow,336,0.1488095238095238
analysis.video_analysis.editing_rhythm,very_fast,71,0.1267605633802817
analysis.video_analysis.color_tone,cool_tone,171,0.1111111111111111
analysis.video_analysis.color_tone,warm_tone,371,0.18059299191374664
analysis.video_analysis.lighting_style,high_contrast,351,0.14814814814814814
analysis.video_analysis.lighting_style,medium_contrast,173,0.19653179190751446
analysis.video_analysis.lighting_style,soft_low_contrast,18,0.0
analysis.video_analysis.shot_types,long_shot,1,0.0
analysis.video_analysis.shot_types,medium_shot,541,0.1589648798521257
analysis.video_analysis.camera_movements,dolly_in,59,0.13559322033898305
analysis.video_analysis.camera_movements,dolly_out,16,0.1875
analysis.video_analysis.camera_movements,pan_horizontal,48,0.2708333333333333
analysis.video_analysis.camera_movements,static_shot,375,0.152
analysis.video_analysis.camera_movements,tilt_vertical,44,0.11363636363636363
analysis.video_analysis.composition_styles,rule_of_thirds,541,0.1589648798521257
analysis.video_analysis.composition_styles,symmetrical_composition,1,0.0
analysis.video_analysis.overall_style,documentary_style|narrative_style,170,0.11176470588235295
analysis.video_analysis.overall_style,documentary_style|narrative_style|warm_mood,370,0.1810810810810811
analysis.video_analysis.overall_style,documentary_style|warm_mood,1,0.0
