slice_value,support,base_error_rate,lens_error_rate,delta_error,slice_type
0×fast,39,0.28205128205128205,0.20512820512820512,-0.07692307692307693,label×editing
0×slow,124,0.3387096774193548,0.27419354838709675,-0.06451612903225806,label×editing
0×very_fast,34,0.14705882352941177,0.08823529411764706,-0.058823529411764705,label×editing
0×moderate,41,0.3170731707317073,0.2682926829268293,-0.04878048780487804,label×editing
fast,68,0.19117647058823528,0.14705882352941177,-0.04411764705882351,editing_rhythm
high,181,0.1712707182320442,0.13812154696132597,-0.03314917127071823,cuts_bin
warm_tone,371,0.18059299191374664,0.16172506738544473,-0.01886792452830191,color_tone
very_fast,71,0.1267605633802817,0.11267605633802817,-0.014084507042253516,editing_rhythm
low,181,0.13259668508287292,0.13259668508287292,0.0,cuts_bin
1×fast,29,0.06896551724137931,0.06896551724137931,0.0,label×editing
