slice_value,support,base_error_rate,lens_error_rate,delta_error,slice_type
1×moderate,26,0.038461538461538464,0.15384615384615385,0.11538461538461539,label×editing
1×slow,212,0.03773584905660377,0.07547169811320754,0.03773584905660377,label×editing
1×very_fast,37,0.10810810810810811,0.13513513513513514,0.02702702702702703,label×editing
cool_tone,171,0.1111111111111111,0.13450292397660818,0.023391812865497075,color_tone
mid,180,0.17222222222222222,0.18888888888888888,0.016666666666666663,cuts_bin
moderate,67,0.208955223880597,0.22388059701492538,0.014925373134328374,editing_rhythm
low,181,0.13259668508287292,0.13259668508287292,0.0,cuts_bin
1×fast,29,0.06896551724137931,0.06896551724137931,0.0,label×editing
slow,336,0.1488095238095238,0.1488095238095238,0.0,editing_rhythm
very_fast,71,0.1267605633802817,0.11267605633802817,-0.014084507042253516,editing_rhythm
