feature_a,feature_b,r,abs_r
stats.editing_rhythm_guess==fast,analysis.video_analysis.editing_rhythm==fast,1.0,1.0
stats.editing_rhythm_guess==fast,analysis.style_tags==fast,1.0,1.0
stats.editing_rhythm_guess==moderate,analysis.video_analysis.editing_rhythm==moderate,1.0,1.0
stats.editing_rhythm_guess==moderate,analysis.style_tags==moderate,1.0,1.0
stats.editing_rhythm_guess==slow,analysis.video_analysis.editing_rhythm==slow,1.0,1.0
stats.editing_rhythm_guess==slow,analysis.style_tags==slow,1.0,1.0
stats.editing_rhythm_guess==very_fast,analysis.video_analysis.editing_rhythm==very_fast,1.0,1.0
stats.editing_rhythm_guess==very_fast,analysis.style_tags==very_fast,1.0,1.0
analysis.video_analysis.editing_rhythm==fast,analysis.style_tags==fast,1.0,1.0
analysis.video_analysis.editing_rhythm==moderate,analysis.style_tags==moderate,1.0,1.0
analysis.video_analysis.editing_rhythm==slow,analysis.style_tags==slow,1.0,1.0
analysis.video_analysis.editing_rhythm==very_fast,analysis.style_tags==very_fast,1.0,1.0
stats.lighting.quality==high_contrast,analysis.video_analysis.lighting_style==high_contrast,1.0,1.0
stats.lighting.quality==high_contrast,analysis.style_tags==high_contrast,1.0,1.0
stats.lighting.quality==medium_contrast,analysis.video_analysis.lighting_style==medium_contrast,1.0,1.0
stats.lighting.quality==medium_contrast,analysis.style_tags==medium_contrast,1.0,1.0
stats.lighting.quality==soft_low_contrast,analysis.video_analysis.lighting_style==soft_low_contrast,1.0,1.0
stats.lighting.quality==soft_low_contrast,analysis.style_tags==soft_low_contrast,1.0,1.0
stats.lighting.color_temperature==cool_tone,analysis.video_analysis.color_tone==cool_tone,1.0,1.0
stats.lighting.color_temperature==cool_tone,analysis.style_tags==cool_tone,1.0,1.0
stats.lighting.color_temperature==warm_tone,analysis.video_analysis.color_tone==warm_tone,1.0,1.0
stats.lighting.color_temperature==warm_tone,analysis.video_analysis.overall_style==warm_mood,1.0,1.0
stats.lighting.color_temperature==warm_tone,analysis.style_tags==warm_mood,1.0,1.0
stats.lighting.color_temperature==warm_tone,analysis.style_tags==warm_tone,1.0,1.0
analysis.video_analysis.color_tone==cool_tone,analysis.style_tags==cool_tone,1.0,1.0
analysis.video_analysis.color_tone==warm_tone,analysis.video_analysis.overall_style==warm_mood,1.0,1.0
analysis.video_analysis.color_tone==warm_tone,analysis.style_tags==warm_mood,1.0,1.0
analysis.video_analysis.color_tone==warm_tone,analysis.style_tags==warm_tone,1.0,1.0
analysis.video_analysis.lighting_style==high_contrast,analysis.style_tags==high_contrast,1.0,1.0
analysis.video_analysis.lighting_style==medium_contrast,analysis.style_tags==medium_contrast,1.0,1.0
analysis.video_analysis.lighting_style==soft_low_contrast,analysis.style_tags==soft_low_contrast,1.0,1.0
analysis.video_analysis.shot_types==long_shot,analysis.video_analysis.composition_styles==symmetrical_composition,1.0,1.0
analysis.video_analysis.shot_types==long_shot,analysis.style_tags==long_shot,1.0,1.0
analysis.video_analysis.shot_types==long_shot,analysis.style_tags==symmetrical_composition,1.0,1.0
analysis.video_analysis.shot_types==medium_shot,analysis.style_tags==medium_shot,1.0,1.0
analysis.video_analysis.camera_movements==dolly_in,analysis.style_tags==dolly_in,1.0,1.0
analysis.video_analysis.camera_movements==dolly_out,analysis.style_tags==dolly_out,1.0,1.0
analysis.video_analysis.camera_movements==pan_horizontal,analysis.style_tags==pan_horizontal,1.0,1.0
analysis.video_analysis.camera_movements==static_shot,analysis.style_tags==static_shot,1.0,1.0
analysis.video_analysis.camera_movements==tilt_vertical,analysis.style_tags==tilt_vertical,1.0,1.0
analysis.video_analysis.composition_styles==low_angle_perspective,analysis.style_tags==low_angle_perspective,1.0,1.0
analysis.video_analysis.composition_styles==negative_space,analysis.style_tags==negative_space,1.0,1.0
analysis.video_analysis.composition_styles==rule_of_thirds,analysis.style_tags==rule_of_thirds,1.0,1.0
analysis.video_analysis.composition_styles==symmetrical_composition,analysis.style_tags==long_shot,1.0,1.0
analysis.video_analysis.composition_styles==symmetrical_composition,analysis.style_tags==symmetrical_composition,1.0,1.0
analysis.video_analysis.overall_style==cinematic_style,analysis.style_tags==cinematic_style,1.0,1.0
analysis.video_analysis.overall_style==documentary_style,analysis.style_tags==documentary_style,1.0,1.0
analysis.video_analysis.overall_style==narrative_style,analysis.style_tags==narrative_style,1.0,1.0
analysis.video_analysis.overall_style==solemn_mood,analysis.style_tags==solemn_mood,1.0,1.0
analysis.video_analysis.overall_style==warm_mood,analysis.style_tags==warm_mood,1.0,1.0
analysis.video_analysis.overall_style==warm_mood,analysis.style_tags==warm_tone,1.0,1.0
analysis.style_tags==long_shot,analysis.style_tags==symmetrical_composition,1.0,1.0
analysis.style_tags==warm_mood,analysis.style_tags==warm_tone,1.0,1.0
stats.lighting.color_temperature==cool_tone,stats.lighting.color_temperature==warm_tone,-0.9999999999999999,0.9999999999999999
stats.lighting.color_temperature==cool_tone,analysis.video_analysis.color_tone==warm_tone,-0.9999999999999999,0.9999999999999999
stats.lighting.color_temperature==cool_tone,analysis.video_analysis.overall_style==warm_mood,-0.9999999999999999,0.9999999999999999
stats.lighting.color_temperature==cool_tone,analysis.style_tags==warm_mood,-0.9999999999999999,0.9999999999999999
stats.lighting.color_temperature==cool_tone,analysis.style_tags==warm_tone,-0.9999999999999999,0.9999999999999999
analysis.video_analysis.color_tone==cool_tone,analysis.video_analysis.color_tone==warm_tone,-0.9999999999999999,0.9999999999999999
analysis.video_analysis.color_tone==cool_tone,analysis.video_analysis.overall_style==warm_mood,-0.9999999999999999,0.9999999999999999
analysis.video_analysis.color_tone==cool_tone,analysis.style_tags==warm_mood,-0.9999999999999999,0.9999999999999999
analysis.video_analysis.color_tone==cool_tone,analysis.style_tags==warm_tone,-0.9999999999999999,0.9999999999999999
analysis.video_analysis.shot_types==long_shot,analysis.video_analysis.shot_types==medium_shot,-0.9999999999999999,0.9999999999999999
analysis.video_analysis.shot_types==long_shot,analysis.style_tags==medium_shot,-0.9999999999999999,0.9999999999999999
analysis.video_analysis.shot_types==medium_shot,analysis.video_analysis.composition_styles==symmetrical_composition,-0.9999999999999999,0.9999999999999999
analysis.video_analysis.shot_types==medium_shot,analysis.style_tags==long_shot,-0.9999999999999999,0.9999999999999999
analysis.video_analysis.shot_types==medium_shot,analysis.style_tags==symmetrical_composition,-0.9999999999999999,0.9999999999999999
analysis.video_analysis.composition_styles==symmetrical_composition,analysis.style_tags==medium_shot,-0.9999999999999999,0.9999999999999999
analysis.style_tags==cool_tone,analysis.style_tags==warm_mood,-0.9999999999999999,0.9999999999999999
analysis.style_tags==cool_tone,analysis.style_tags==warm_tone,-0.9999999999999999,0.9999999999999999
analysis.style_tags==long_shot,analysis.style_tags==medium_shot,-0.9999999999999999,0.9999999999999999
analysis.style_tags==medium_shot,analysis.style_tags==symmetrical_composition,-0.9999999999999999,0.9999999999999999
stats.lighting.color_temperature==warm_tone,analysis.video_analysis.color_tone==cool_tone,-0.9999999999999997,0.9999999999999997
stats.lighting.color_temperature==warm_tone,analysis.style_tags==cool_tone,-0.9999999999999997,0.9999999999999997
analysis.video_analysis.color_tone==warm_tone,analysis.style_tags==cool_tone,-0.9999999999999997,0.9999999999999997
analysis.video_analysis.overall_style==warm_mood,analysis.style_tags==cool_tone,-0.9999999999999997,0.9999999999999997
stats.lighting.quality==high_contrast,stats.lighting.quality==medium_contrast,-0.9324930972055215,0.9324930972055215
stats.lighting.quality==high_contrast,analysis.video_analysis.lighting_style==medium_contrast,-0.9324930972055215,0.9324930972055215
stats.lighting.quality==high_contrast,analysis.style_tags==medium_contrast,-0.9324930972055215,0.9324930972055215
stats.lighting.quality==medium_contrast,analysis.video_analysis.lighting_style==high_contrast,-0.9324930972055215,0.9324930972055215
stats.lighting.quality==medium_contrast,analysis.style_tags==high_contrast,-0.9324930972055215,0.9324930972055215
analysis.video_analysis.lighting_style==high_contrast,analysis.video_analysis.lighting_style==medium_contrast,-0.9324930972055215,0.9324930972055215
analysis.video_analysis.lighting_style==high_contrast,analysis.style_tags==medium_contrast,-0.9324930972055215,0.9324930972055215
analysis.video_analysis.lighting_style==medium_contrast,analysis.style_tags==high_contrast,-0.9324930972055215,0.9324930972055215
analysis.style_tags==high_contrast,analysis.style_tags==medium_contrast,-0.9324930972055215,0.9324930972055215
stats.lighting.condition==dim_low_light,stats.lighting.condition==overcast_neutral,-0.8842023168146481,0.8842023168146481
analysis.video_analysis.composition_styles==negative_space,analysis.video_analysis.composition_styles==rule_of_thirds,-0.865807563156219,0.865807563156219
analysis.video_analysis.composition_styles==negative_space,analysis.style_tags==rule_of_thirds,-0.865807563156219,0.865807563156219
analysis.video_analysis.composition_styles==rule_of_thirds,analysis.style_tags==negative_space,-0.865807563156219,0.865807563156219
analysis.style_tags==negative_space,analysis.style_tags==rule_of_thirds,-0.865807563156219,0.865807563156219
analysis.video_analysis.composition_styles==rule_of_thirds,analysis.video_analysis.overall_style==narrative_style,0.7063946895847796,0.7063946895847796
analysis.video_analysis.composition_styles==rule_of_thirds,analysis.style_tags==narrative_style,0.7063946895847796,0.7063946895847796
analysis.video_analysis.overall_style==narrative_style,analysis.style_tags==rule_of_thirds,0.7063946895847795,0.7063946895847795
analysis.style_tags==narrative_style,analysis.style_tags==rule_of_thirds,0.7063946895847795,0.7063946895847795
analysis.video_analysis.composition_styles==negative_space,analysis.video_analysis.overall_style==solemn_mood,0.6661636485580152,0.6661636485580152
analysis.video_analysis.composition_styles==negative_space,analysis.style_tags==solemn_mood,0.6661636485580152,0.6661636485580152
analysis.video_analysis.overall_style==solemn_mood,analysis.style_tags==negative_space,0.6661636485580152,0.6661636485580152
analysis.style_tags==negative_space,analysis.style_tags==solemn_mood,0.6661636485580152,0.6661636485580152
analysis.video_analysis.overall_style==documentary_style,analysis.video_analysis.overall_style==narrative_style,0.6116018648158931,0.6116018648158931
analysis.video_analysis.overall_style==documentary_style,analysis.style_tags==narrative_style,0.6116018648158931,0.6116018648158931
