field,r_point_biserial,r_spearman,n,abs_r_pb
stats.avg_shot_len_sec,0.08972689109798238,0.09526004384128334,1991,0.08972689109798238
stats.movement_counts.static_shot,-0.07062661688502331,0.008611363892956343,1991,0.07062661688502331
stats.movement_counts.dolly_in,0.05341476310294982,0.05650003023281462,1991,0.05341476310294982
stats.movement_counts.tilt_vertical,0.04689895141640083,0.07064158141960453,1991,0.04689895141640083
stats.movement_counts.pan_horizontal,0.029077734831132598,0.05710017809848122,1991,0.029077734831132598
stats.lighting.v_mean,-0.024967736835417,-0.025404028643096755,1991,0.024967736835417
stats.lighting.v_std,-0.022580087958426583,-0.03657557911428666,1991,0.022580087958426583
stats.num_shots,-0.010554470023274814,0.03578657246340481,1991,0.010554470023274814
stats.movement_counts.dolly_out,0.006687637714533633,0.029700532117283525,1991,0.006687637714533633
stats.lighting.s_mean,-0.00408223080220334,0.004798444499199921,1991,0.00408223080220334
analysis.video_analysis.confidence_score,-0.003177742310306728,2.7858737343462542e-05,1991,0.003177742310306728
stats.cuts_per_30s,-0.0023770585276288924,0.019500785815991822,1991,0.0023770585276288924
