feature,slice_value,support,lens_error_rate
stats.num_shots,"(0.999, 2.0]",170,0.16470588235294117
stats.num_shots,"(2.0, 5.5]",54,0.18518518518518517
stats.num_shots,"(5.5, 48.0]",75,0.24
stats.avg_shot_len_sec,"(1.8530000000000002, 7.592]",75,0.2
stats.avg_shot_len_sec,"(7.592, 18.233]",75,0.24
stats.avg_shot_len_sec,"(18.233, 38.296]",74,0.12162162162162163
stats.avg_shot_len_sec,"(38.296, 163.817]",75,0.18666666666666668
stats.cuts_per_30s,"(-0.001, 0.581]",150,0.15333333333333332
stats.cuts_per_30s,"(0.581, 2.848]",74,0.22972972972972974
stats.cuts_per_30s,"(2.848, 15.569]",75,0.21333333333333335
stats.lighting.s_mean,"(0.001, 0.175]",76,0.18421052631578946
stats.lighting.s_mean,"(0.175, 0.291]",74,0.16216216216216217
stats.lighting.s_mean,"(0.291, 0.402]",74,0.1891891891891892
stats.lighting.s_mean,"(0.402, 0.912]",75,0.21333333333333335
stats.lighting.v_mean,"(0.02, 0.251]",75,0.24
stats.lighting.v_mean,"(0.251, 0.383]",75,0.10666666666666667
stats.lighting.v_mean,"(0.383, 0.498]",74,0.21621621621621623
stats.lighting.v_mean,"(0.498, 0.794]",75,0.18666666666666668
stats.lighting.v_std,"(0.06, 0.227]",77,0.19480519480519481
stats.lighting.v_std,"(0.227, 0.267]",73,0.1917808219178082
stats.lighting.v_std,"(0.267, 0.326]",78,0.1794871794871795
stats.lighting.v_std,"(0.326, 0.486]",71,0.18309859154929578
stats.movement_counts.static_shot,"(-0.001, 1.0]",209,0.17703349282296652
stats.movement_counts.static_shot,"(1.0, 2.0]",35,0.2
stats.movement_counts.static_shot,"(2.0, 26.0]",55,0.21818181818181817
stats.movement_counts.pan_horizontal,"(-0.001, 1.0]",252,0.1865079365079365
stats.movement_counts.pan_horizontal,"(1.0, 17.0]",47,0.19148936170212766
stats.movement_counts.tilt_vertical,"(-0.001, 1.0]",256,0.19140625
stats.movement_counts.tilt_vertical,"(1.0, 15.0]",43,0.16279069767441862
stats.movement_counts.dolly_in,"(-0.001, 1.0]",246,0.17886178861788618
stats.movement_counts.dolly_in,"(1.0, 14.0]",53,0.22641509433962265
stats.movement_counts.dolly_out,"(-0.001, 1.0]",269,0.19330855018587362
stats.movement_counts.dolly_out,"(1.0, 15.0]",30,0.13333333333333333
stats.editing_rhythm_guess,fast,22,0.2727272727272727
stats.editing_rhythm_guess,moderate,30,0.16666666666666666
stats.editing_rhythm_guess,slow,226,0.18141592920353983
stats.editing_rhythm_guess,very_fast,21,0.19047619047619047
stats.lighting.quality,high_contrast,222,0.18468468468468469
stats.lighting.quality,medium_contrast,70,0.14285714285714285
stats.lighting.quality,soft_low_contrast,7,0.7142857142857143
stats.lighting.condition,bright_sunny,11,0.18181818181818182
stats.lighting.condition,dim_low_light,195,0.18461538461538463
stats.lighting.condition,overcast_neutral,93,0.1935483870967742
stats.lighting.color_temperature,cool_tone,63,0.14285714285714285
stats.lighting.color_temperature,warm_tone,236,0.19915254237288135
analysis.video_analysis.editing_rhythm,fast,22,0.2727272727272727
analysis.video_analysis.editing_rhythm,moderate,30,0.16666666666666666
analysis.video_analysis.editing_rhythm,slow,226,0.18141592920353983
analysis.video_analysis.editing_rhythm,very_fast,21,0.19047619047619047
analysis.video_analysis.color_tone,cool_tone,63,0.14285714285714285
analysis.video_analysis.color_tone,warm_tone,236,0.19915254237288135
analysis.video_analysis.lighting_style,high_contrast,222,0.18468468468468469
analysis.video_analysis.lighting_style,medium_contrast,70,0.14285714285714285
analysis.video_analysis.lighting_style,soft_low_contrast,7,0.7142857142857143
analysis.video_analysis.camera_movements,dolly_in,30,0.23333333333333334
analysis.video_analysis.camera_movements,dolly_out,15,0.0
analysis.video_analysis.camera_movements,pan_horizontal,34,0.20588235294117646
analysis.video_analysis.camera_movements,static_shot,185,0.2
analysis.video_analysis.camera_movements,tilt_vertical,35,0.14285714285714285
analysis.video_analysis.composition_styles,negative_space,1,0.0
analysis.video_analysis.composition_styles,rule_of_thirds,298,0.18791946308724833
analysis.video_analysis.overall_style,documentary_style|narrative_style,63,0.14285714285714285
analysis.video_analysis.overall_style,documentary_style|narrative_style|warm_mood,234,0.20085470085470086
analysis.video_analysis.overall_style,warm_mood,1,0.0
analysis.video_analysis.overall_style,warm_mood|solemn_mood,1,0.0
analysis.style_tags,cool_tone|fast|medium_shot|documentary_style|pan_horizontal|high_contrast|narrative_style|rule_of_thirds,1,0.0
analysis.style_tags,cool_tone|fast|medium_shot|dolly_in|medium_contrast|documentary_style|narrative_style|rule_of_thirds,1,1.0
analysis.style_tags,cool_tone|fast|medium_shot|medium_contrast|pan_horizontal|documentary_style|narrative_style|rule_of_thirds,1,0.0
analysis.style_tags,cool_tone|medium_shot|documentary_style|high_contrast|narrative_style|slow|dolly_out|rule_of_thirds,3,0.0
analysis.style_tags,cool_tone|medium_shot|documentary_style|pan_horizontal|high_contrast|narrative_style|rule_of_thirds|moderate,2,0.0
analysis.style_tags,cool_tone|medium_shot|documentary_style|pan_horizontal|high_contrast|narrative_style|slow|rule_of_thirds,1,0.0
analysis.style_tags,cool_tone|medium_shot|documentary_style|pan_horizontal|soft_low_contrast|narrative_style|slow|rule_of_thirds,1,1.0
analysis.style_tags,cool_tone|medium_shot|dolly_in|documentary_style|high_contrast|narrative_style|slow|rule_of_thirds,1,0.0
analysis.style_tags,cool_tone|medium_shot|dolly_in|medium_contrast|documentary_style|narrative_style|rule_of_thirds|moderate,1,0.0
analysis.style_tags,cool_tone|medium_shot|medium_contrast|pan_horizontal|documentary_style|narrative_style|slow|rule_of_thirds,2,0.0
analysis.style_tags,cool_tone|static_shot|fast|medium_shot|documentary_style|high_contrast|narrative_style|rule_of_thirds,2,0.0
analysis.style_tags,cool_tone|static_shot|fast|medium_shot|medium_contrast|documentary_style|narrative_style|rule_of_thirds,1,0.0
analysis.style_tags,cool_tone|static_shot|medium_shot|documentary_style|high_contrast|narrative_style|rule_of_thirds|moderate,4,0.5
analysis.style_tags,cool_tone|static_shot|medium_shot|documentary_style|high_contrast|narrative_style|slow|rule_of_thirds,14,0.21428571428571427
analysis.style_tags,cool_tone|static_shot|medium_shot|documentary_style|soft_low_contrast|narrative_style|slow|rule_of_thirds,1,0.0
analysis.style_tags,cool_tone|static_shot|medium_shot|medium_contrast|documentary_style|narrative_style|rule_of_thirds|moderate,2,0.0
analysis.style_tags,cool_tone|static_shot|medium_shot|medium_contrast|documentary_style|narrative_style|slow|rule_of_thirds,4,0.0
