slice_value,support,base_error_rate,lens_error_rate,delta_error,slice_type
very_fast,21,0.23809523809523808,0.19047619047619047,-0.047619047619047616,editing_rhythm
fast,22,0.3181818181818182,0.2727272727272727,-0.04545454545454547,editing_rhythm
mid,29,0.3448275862068966,0.3103448275862069,-0.03448275862068967,cuts_bin
0×slow,155,0.15483870967741936,0.14838709677419354,-0.006451612903225823,label×editing
slow,226,0.18141592920353983,0.18141592920353983,0.0,editing_rhythm
warm_tone,236,0.19915254237288135,0.19915254237288135,0.0,color_tone
0×moderate,23,0.08695652173913043,0.08695652173913043,0.0,label×editing
cool_tone,63,0.14285714285714285,0.14285714285714285,0.0,color_tone
low,259,0.17374517374517376,0.18146718146718147,0.007722007722007707,cuts_bin
1×slow,71,0.23943661971830985,0.2535211267605634,0.01408450704225353,label×editing
