procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 147304 110881480  27184 877857216    4    6    10    67    0    0  3  0 96  0  0
 3  0 147304 110603256  27184 877857216    0    0     0    17 29235 6161  4  0 96  0  0
 4  0 147304 110525584  27184 877857216    0    0     0   270 23983 5807  4  0 96  0  0
 3  0 147304 110498192  27184 877857280    0    0     0     3 5175 3397  1  0 99  0  0
 3  0 147304 110344136  27184 877857280    0    0     0    46 5415 3519  1  0 99  0  0
 3  0 147304 109418920  27184 877857280    0    0     0  2110 7667 3719  1  0 99  0  0
 8  0 147304 107862288  27184 877857280    0    0     0    74 7366 4378  1  0 99  0  0
 3  0 147304 106823512  27184 877857280    0    0     0     3 13550 8059  1  0 98  0  0
 4  0 147304 105280600  27184 877857280    0    0     0    18 6170 2937  1  0 99  0  0
 3  0 147304 104359968  27184 877857280    0    0     0     0 7163 3687  1  0 99  0  0
 4  0 147304 102753840  27184 877857280    0    0     0     0 8663 4278  1  0 99  0  0
 3  0 147304 101160112  27184 877857280    0    0     0   112 9312 4107  1  0 99  0  0
 3  0 147304 99683136  27184 877857280    0    0     0    14 5974 4269  1  0 99  0  0
 4  0 147304 99483536  27184 877857280    0    0     0     0 4703 2581  1  0 99  0  0
 4  0 147304 98531312  27184 877857280    0    0     0     0 31589 7481  1  0 99  0  0
 3  0 147304 97008000  27184 877857280    0    0     0   148 12957 4075  1  0 99  0  0
 4  0 147304 95403040  27184 877857280    0    0     0    98 4675 2455  1  0 99  0  0
 4  0 147304 94317800  27184 877857280    0    0     0   297 32640 25007  1  1 98  0  0
 3  0 147304 92893136  27184 877857344    0    0     0     0 13867 16580  1  1 98  0  0
 5  0 147304 91281640  27184 877857344    0    0     0   268 12733 11436  1  1 98  0  0
 4  0 147304 89663360  27184 877857344    0    0     0     0 14082 14254  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 147304 88695488  27184 877857344    0    0     0     0 14107 16747  1  1 98  0  0
 3  0 147304 88306688  27184 877856896    0    0     0  3249 8090 6972  1  0 99  0  0
 4  0 147304 86716720  27184 877856896    0    0     0    78 6180 2796  1  0 99  0  0
 4  0 147304 85120928  27184 877856832    0    0     0     3 6905 2675  1  0 99  0  0
 3  0 147304 83524240  27184 877856832    0    0     0   838 7195 3230  1  0 99  0  0
 3  0 147304 82476208  27184 877856832    0    0     0     0 6388 3246  1  0 99  0  0
 3  0 147304 80871680  27184 877856832    0    0     0   514 9865 5707  1  0 99  0  0
 3  0 147304 79264304  27184 877856832    0    0     0   683 6752 2833  1  0 99  0  0
 5  0 151912 77774280  27168 877756032   20 4656    20  8278 6709 2827  1  1 99  0  0
 3  0 151400 77715712  27140 877501120  488   36   488   413 7806 3924  1  0 99  0  0
130  0 151656 78104704  27064 876936832  212   68   212    81 16078 5633  3  1 96  0  0
131  0 151656 77698544  27048 876832256   28   64    28    70 75979 20172 25  1 75  0  0
130  0 151656 77765744  27020 876519296  104   12   104  2043 129044 15545 18  1 81  0  0
 4  0 151656 78179120  26940 876003840   12   20    12   188 511102 3826 20  2 78  0  0
 3  0 151656 78139968  26940 876002112    0    0     4     0 62418 16131 20  0 79  0  0
 3  0 151400 77785408  26940 876002048   40    0    44     0 59289 15269 20  0 80  0  0
 5  0 151912 78023064  26836 875476608    0  464     0   470 759894 5244 28  2 69  0  0
131  0 151912 78491112  26836 875021248    0  120     8   270 65536 16484 21  1 78  0  0
130  0 151912 78534288  26836 874983488    0    0     8    18 409790 16578 27  1 72  0  0
 9  0 151912 78494264  26836 874983488    0    0     4     0 729418 8577 33  2 65  0  0
131  0 151912 78490464  26836 874983488   32    0    44    91 81153 19974 27  1 73  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
131  0 151912 78342160  26836 874983488   40    0    40    13 1775113 11302 37  3 60  0  0
 4  0 151912 78243400  26836 874983488    0    0     8     0 245749 14766 26  1 73  0  0
 4  0 151912 78058904  26836 874983360    0    0     4   164 61944 18510 20  0 80  0  0
132  0 151912 77921296  26836 874983424    8    0    16     0 1435329 11751 37  2 61  0  0
 5  0 151912 77879416  26836 874983424    0    0     8   134 223827 10617 22  1 77  0  0
 8  0 151912 77809856  26836 874983424    4    0     8     0 56600 16247 17  0 82  0  0
132  0 151912 77687464  26836 874983424    0    0     0     0 305189 20015 23  1 76  0  0
131  0 151912 77455664  26836 874983424   44    0    48   138 1355949 10020 38  3 59  0  0
130  0 151912 77418800  26836 874983424   36    0    36    18 62657 16201 20  0 79  0  0
131  0 151912 77416056  26836 874983424    0    0     4     0 755069 13415 29  1 70  0  0
 3  0 151912 77527992  26836 874983424    0    0     0     0 1309760 6792 37  3 60  0  0
130  0 151912 77526304  26836 874983424   16    0    24     0 67012 18576 22  0 78  0  0
130  0 151912 77525328  26836 874983424    0    0     8     2 832733 17451 28  1 71  0  0
 3  0 151656 77504912  26836 874983424  516    0   524  1936 1198396 13583 38  3 60  0  0
 4  0 151656 77509792  26836 874983488    4    0     8     0 59459 17260 19  0 81  0  0
131  0 148840 77510464  26836 874983488   40    0    40   126 697944 13760 28  1 71  0  0
131  0 148840 77510320  26836 874983488    0    0     0     0 1348198 6203 36  3 61  0  0
130  0 148840 77510632  26836 874983488    0    0     8    11 62571 17487 20  0 80  0  0
130  0 148584 77508040  26836 874983552  136    0   148  2015 865529 15028 32  1 67  0  0
 3  0 148584 77507968  26836 874983552    0    0    12    18 1291573 8055 34  3 63  0  0
131  0 148584 77507968  26836 874983552    0    0     4    14 75434 20390 25  0 75  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
130  0 148584 77507992  26836 874983552    0    0     8     0 1071303 18890 30  2 69  0  0
 3  0 148584 77509760  26836 874983552    0    0     0     0 1310446 15270 36  3 61  0  0
 5  0 148584 77516464  26836 874983552    0    0     8   170 62622 16367 20  0 79  0  0
131  0 148584 77510864  26836 874983552    0    0    12   153 812114 23602 28  1 70  0  0
130  0 148584 77336312  26836 874983552    0    0     0     3 2545486 14019 44  5 51  0  0
131  0 148584 78055856  26836 874983552    0    0     4     0 455257 12124 19  1 80  0  0
 3  0 148584 78054768  26836 874983616    0    0    12     0 457657 16617 21  1 78  0  0
130  0 148584 78054656  26836 874983616    0    0     0     0 670060 16936 23  1 76  0  0
130  0 148584 77325728  26836 874983616    0    0     0   112 2478936 10725 46  4 50  0  0
 3  0 148584 78015920  26836 874983616    8    0    20   138 140188 14873 19  1 80  0  0
 3  0 148584 78016392  26836 874983616    0    0     4     0 63065 16142 21  0 79  0  0
130  0 148584 78391816  26836 874983616    0    0     8     0 1895048 20256 36  3 61  0  0
130  0 148584 78439592  26836 874983680    0    0     4     0 501378 14672 29  2 69  0  0
131  0 148584 78412176  26836 874984704   60    0  2280   186 107038 38521 25  1 74  0  0
131  0 148328 77732400  26836 874985920   12    0    20  1846 1977262 22769 42  4 54  0  0
 3  0 148328 78469584  26836 874985920    4    0     4     3 75256 26729 20  1 79  0  0
 6  0 148328 78465088  26836 874985920    4    0     8    11 69334 27712 21  1 79  0  0
130  0 148072 78077616  26836 874985856    0    0     0     0 1975930 19846 40  3 57  0  0
130  0 148072 78425504  26836 874985856    0    0     0     0 80129 13047 21  1 78  0  0
 3  0 148072 78425392  26836 874985856    0    0     8   102 74785 17863 21  0 79  0  0
130  0 148072 78157680  26836 874985856    0    0     0    96 1922342 6920 39  3 59  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
133  0 148072 78435784  26836 874985920    0    0     8   269 68011 14943 22  1 77  0  0
95  0 148072 78438144  26836 874985920    0    0     0   515 61980 16626 20  0 80  0  0
130  0 148072 78448592  26836 874985920    0    0     0     0 1616012 16784 35  2 62  0  0
130  0 148072 78435152  26836 874985920    0    0     0   646 420600 10535 26  2 73  0  0
 3  0 148072 78435248  26836 874985920    0    0     4  1984 67597 17998 22  0 78  0  0
130  0 148072 78430432  26836 874985920    0    0     4     0 1170281 13093 29  2 69  0  0
131  0 148072 77985600  26836 874985920    0    0     0   634 2664987 11346 45  5 51  0  0
 3  0 148072 78426992  26836 874985920    0    0     0     0 1516005 11265 29  3 68  0  0
130  0 148072 78427696  26836 874985920    0    0     0     0 294594 16082 18  1 81  0  0
130  0 148072 78427808  26836 874985920    0    0     4  1486 1192670 11930 31  2 67  0  0
 3  0 148072 78426968  26836 874985920    0    0     0    18 666419 9448 26  2 72  0  0
 4  0 148072 78427376  26836 874985920    0    0     0     0 47587 12171 15  0 85  0  0
130  0 148072 78426528  26836 874985984    0    0     0   207 57878 15794 18  0 81  0  0
130  0 148072 78007496  26836 874985984    0    0     0     3 2272602 23056 43  4 54  0  0
 4  0 148072 78439392  26836 874985984    0    0     0     0 67417 12600 19  1 80  0  0
 3  0 148072 78440176  26836 874985984    0    0     0   168 58966 15063 19  0 81  0  0
130  0 148072 78428928  26836 874985984    0    0     0     0 1088294 16598 27  2 72  0  0
 3  0 148072 78369520  26836 874985984    0    0     0    85 1294314 18678 35  3 62  0  0
133  0 148072 78202080  26836 874985984    0    0     0    13 61599 18846 19  0 80  0  0
135  0 148072 78094728  26836 874985984    0    0     0     0 304233 20923 23  1 77  0  0
 4  0 148072 77401408  26836 874985984    0    0     0   263 2236033 21466 43  4 53  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 148072 77794976  26836 874985984    0    0     0     3 49827 15214 15  0 84  0  0
136  0 148072 77760000  26836 874985984    0    0     0     0 49669 17920 15  0 85  0  0
 4  0 148072 77673760  26836 874985984    0    0     0     0 46652 17974 14  0 85  0  0
131  0 148072 77241456  26836 874985984    0    0     0     0 2366751 30806 43  4 53  0  0
132  0 148072 77308856  26836 874985984    0    0     0   171 408239 18965 24  1 74  0  0
 3  0 148072 77347632  26836 874985984    0    0     0     0 388521 18337 25  1 74  0  0
 3  0 148072 77348880  26836 874985984    0    0     0     0 79795 14515 18  0 81  0  0
130  0 148072 76630160  26836 874985984    0    0     0     0 1584657 9343 37  3 60  0  0
74  0 148072 77447040  26836 874986048    0    0     0   154 265288 12785 20  0 79  0  0
79  0 148072 77446592  26836 874986048    0    0     0  3840 95422 19810 24  0 75  0  0
 3  0 148072 76923128  26836 874986048    0    0     0   456 1669383 6994 39  3 58  0  0
131  0 148072 77451656  26836 874986048    0    0     0     0 744421 12597 14  1 85  0  0
 5  0 148072 77449976  26836 874986048    0    0     0  3090 792585 14929 18  1 81  0  0
