timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/12/01 19:45:46.283, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 0 MiB
2025/12/01 19:45:51.285, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 419 MiB
2025/12/01 19:45:56.286, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 419 MiB
2025/12/01 19:46:01.288, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 419 MiB
2025/12/01 19:46:06.289, 0, NVIDIA A100-SXM4-80GB, 3 %, 1 %, 81920 MiB, 3679 MiB
2025/12/01 19:46:11.291, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 3781 MiB
2025/12/01 19:46:16.292, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 3781 MiB
2025/12/01 19:46:21.294, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 3781 MiB
2025/12/01 19:46:26.295, 0, NVIDIA A100-SXM4-80GB, 20 %, 2 %, 81920 MiB, 4343 MiB
2025/12/01 19:46:31.297, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4343 MiB
2025/12/01 19:46:36.298, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4361 MiB
2025/12/01 19:46:41.300, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4361 MiB
2025/12/01 19:46:46.301, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4361 MiB
2025/12/01 19:46:51.303, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4365 MiB
2025/12/01 19:46:56.304, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4365 MiB
2025/12/01 19:47:01.306, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4365 MiB
2025/12/01 19:47:06.307, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4365 MiB
2025/12/01 19:47:11.309, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4365 MiB
2025/12/01 19:47:16.310, 0, NVIDIA A100-SXM4-80GB, 12 %, 0 %, 81920 MiB, 4365 MiB
2025/12/01 19:47:21.312, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4369 MiB
2025/12/01 19:47:26.314, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4369 MiB
2025/12/01 19:47:31.315, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4369 MiB
2025/12/01 19:47:36.317, 0, NVIDIA A100-SXM4-80GB, 19 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:47:41.318, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:47:46.320, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:47:51.322, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:47:56.323, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:48:01.325, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:48:06.327, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:48:11.330, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:48:16.332, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:48:21.334, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:48:26.336, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:48:31.338, 0, NVIDIA A100-SXM4-80GB, 12 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:48:36.340, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:48:41.341, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:48:46.342, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:48:51.344, 0, NVIDIA A100-SXM4-80GB, 19 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:48:56.345, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:49:01.347, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:49:06.349, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:49:11.350, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:49:16.352, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:49:21.354, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:49:26.355, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:49:31.356, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:49:36.358, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:49:41.359, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:49:46.361, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:49:51.363, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:49:56.364, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:50:01.365, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:50:06.367, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:50:11.368, 0, NVIDIA A100-SXM4-80GB, 18 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:50:16.370, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:50:21.372, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:50:26.373, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:50:31.375, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:50:36.379, 0, NVIDIA A100-SXM4-80GB, 23 %, 4 %, 81920 MiB, 4373 MiB
2025/12/01 19:50:41.381, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:50:46.383, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:50:51.384, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:50:56.386, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:51:01.387, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:51:06.389, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:51:11.391, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:51:16.393, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:51:21.395, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:51:26.397, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:51:31.398, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:51:36.400, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:51:41.401, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:51:46.403, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:51:51.404, 0, NVIDIA A100-SXM4-80GB, 8 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:51:56.406, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:01.408, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:06.409, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:11.411, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:16.412, 0, NVIDIA A100-SXM4-80GB, 12 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:21.414, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:26.416, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:31.417, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:36.419, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:41.421, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:46.422, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:51.424, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:52:56.425, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:01.427, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:06.429, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:11.431, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:16.432, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:21.434, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:26.436, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:31.438, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:36.439, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:41.441, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:46.442, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:51.444, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:53:56.446, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:01.448, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:06.450, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:11.452, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:16.454, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/12/01 19:54:21.455, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
