procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 147560 114004576  26836 874992064    4    6    10    67    0    0  3  0 96  0  0
 9  0 147560 113690864  26836 875003840    0    0 11852     3 30678 9185  5  0 95  0  0
 8  0 147560 113501152  26836 875003840    0    0     0     0 27565 8395  5  0 95  0  0
 8  0 147560 113378192  26836 875003840    0    0     0     0 8914 5613  2  0 98  0  0
 3  0 147560 112964576  26836 875003840    0    0     0  2036 9227 5760  1  0 98  0  0
 3  0 147560 112285728  26836 875003840    0    0     0     0 5632 2816  1  0 99  0  0
 4  0 147560 110619616  26836 875003840    0    0     0    59 4743 2177  1  0 99  0  0
 4  0 147560 109207984  26836 875003840    0    0     0     0 4469 2091  1  0 99  0  0
 3  0 147560 108673584  26836 875003840    0    0     0     0 4969 2461  1  0 99  0  0
 3  0 147560 107474096  26836 875003840    0    0     0     0 4910 2365  1  0 99  0  0
 3  0 147560 105762656  26836 875003840    0    0     0  1480 4808 2133  1  0 99  0  0
 3  0 147560 104862640  26836 875003840    0    0     0    11 4549 2089  1  0 99  0  0
 4  0 147560 104290928  26836 875003840    0    0     0   359 5033 2571  1  0 99  0  0
 3  0 147560 102574944  26836 875003840    0    0     0     3 4929 2390  1  0 99  0  0
 3  0 147560 101051048  26836 875003840    0    0     0  3118 5048 2332  1  0 99  0  0
 3  0 147560 100988800  26836 875003904    0    0     0   306 6427 4949  1  0 99  0  0
130  0 147560 100633104  26836 875012096    0    0     0    13 47356 10661 11  0 88  0  0
 3  0 147560 100196192  26836 875012096    0    0     0    74 46343 12289 15  0 85  0  0
 5  0 147560 99871056  26836 875012096    0    0     0     3 43153 11555 14  0 86  0  0
 3  0 147560 99585600  26836 875023104    0    0     0     0 50192 6483 16  1 83  0  0
 8  0 147560 99497104  26836 875023104    0    0     0   216 37557 12970 12  0 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 147560 100035744  26836 875023168    0    0     0    37 55830 16732 16  0 84  0  0
 3  0 147560 99709072  26836 875023168    0    0     0     0 47350 13049 15  0 85  0  0
 3  0 147560 99611008  26836 875023168    0    0     0     0 62808 10450 21  1 78  0  0
 3  0 147560 99597104  26836 875023168    0    0     0    35 49349 13761 16  0 84  0  0
130  0 147560 99590904  26836 875023168    0    0     0     3 49994 13710 15  0 84  0  0
 3  0 147560 99587224  26836 875023168    0    0     0   138 1110918 8426 35  2 63  0  0
130  0 147560 99586128  26836 875023168    0    0     0     0 95623 15259 17  0 83  0  0
130  0 147560 99910240  26836 875023168    0    0     0     0 184456 20328 19  1 81  0  0
 3  0 147560 99459064  26836 875023168    0    0     0     0 519106 10745 26  1 73  0  0
 7  0 147560 99944304  26836 875023168    4    0     4   236 72862 21400 13  0 86  0  0
 4  0 147560 99952864  26836 875023232    0    0     0  2180 62088 31325 16  1 83  0  0
131  0 147560 99953304  26836 875023232    0    0     0     0 53721 23263 15  1 84  0  0
 4  0 147560 99952448  26836 875023232    0    0     0    23 73953 21760 17  1 82  0  0
 5  0 147560 99946416  26836 875023232    4    0     4     3 60614 27115 17  1 82  0  0
 3  0 147560 99950216  26836 875023232    0    0     0     0 63651 27263 18  1 81  0  0
 3  0 147560 99953944  26836 875023232    0    0     0  1850 80580 10949 21  1 79  0  0
130  0 147560 99950416  26836 875023232    0    0     0    70 63592 15787 17  0 82  0  0
 3  0 147560 99950480  26836 875023232    0    0     0     0 137612 12085 13  0 87  0  0
 3  0 147560 99961040  26836 875023232    0    0     0     0 510806 10705 25  1 74  0  0
130  0 147560 99964576  26836 875023232    0    0     0     0 77138 16278 18  0 82  0  0
70  0 147560 99963504  26836 875023232    0    0     0  1510 50188 15601 15  0 85  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
130  0 147560 99966888  26836 875023232    0    0     0  1115 114044 11716 22  1 78  0  0
