procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0  65924 189890272  35632 797929856    5    6    13    88    0    0  4  0 96  0  0
 5  0  65924 189624960  35632 797929472    0    0     0    37 36233 18724  4  0 95  0  0
 7  0  65924 189548704  35632 797929472    0    0     0  1465 32167 17149  4  0 95  0  0
 6  0  65924 189518672  35632 797929536    0    0     0  1292 14867 18507  2  0 98  0  0
 4  0  65924 189360016  35632 797929536    0    0     0 14474 13016 9556  1  0 98  0  0
 4  0  65924 189110656  35632 797937728    0    0     0     0 20058 6112  4  0 96  0  0
 4  0  65924 187811072  35632 797937728    0    0     0    64 7440 3272  1  0 98  0  0
 5  0  65924 186222912  35632 797937728    0    0     0     0 8312 2769  1  1 98  0  0
 6  0  65924 184636032  35632 797937152    0    0     0   153 10471 4126  1  1 98  0  0
 6  0  65924 183545072  35632 797937152    0    0     0     3 10674 5013  1  1 98  0  0
 6  0  65924 182160944  35632 797937088    0    0     0    16 8170 3966  1  1 98  0  0
 5  0  65924 180552320  35632 797937152    0    0     0     0 8448 4231  1  1 98  0  0
 4  0  65924 178944608  35632 797937152    0    0     0     0 10696 3190  1  1 98  0  0
 4  0  65924 177928240  35632 797937152    0    0     0     0 6791 2802  1  0 98  0  0
 4  0  65924 177530976  35632 797937216    0    0     0   446 6574 4423  1  0 98  0  0
 4  0  65924 175930944  35632 797937216    0    0     0  3532 6874 3192  1  0 98  0  0
 4  0  65924 174330704  35632 797937216    0    0     0     0 5679 2158  1  0 98  0  0
 4  0  65924 172715184  35632 797937216    0    0     0     0 7237 3070  1  0 98  0  0
 7  0  65924 171807776  35632 797937216    0    0     0     0 6991 2935  1  0 98  0  0
 4  0  65924 170196640  35632 797937216    0    0     0     0 6992 3323  1  0 98  0  0
 5  0  65924 168572256  35632 797937216    0    0    52    90 6846 2831  1  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  65924 166950432  35632 797942080    0    0  2476     0 8590 3357  2  0 98  0  0
 6  0  65924 166278096  35632 797961472    0    0    76 19717 47186 73676  3  1 96  0  0
 5  0  65924 165616576  35632 797970304    0    0    24 15218 19538 14343  2  0 98  0  0
 4  0  65924 164002080  35632 797968064    0    0     0  9752 8024 4026  1  0 98  0  0
 4  0  65924 162389760  35632 797966016    0    0     0  7160 7336 3311  1  0 98  0  0
 4  0  65924 160778944  35632 797965824    0    0     0 23773 7884 3374  1  0 98  0  0
 4  0  65924 159685824  35632 797965824    0    0     0     0 7280 4259  1  0 98  0  0
 5  0  65924 158070368  35632 797965824    0    0     0     0 7074 2885  1  0 98  0  0
 4  0  65924 156456640  35632 797965824    0    0     0     0 7226 3998  1  0 98  0  0
 4  0  65924 155047728  35632 797965824    0    0     0     0 9240 4111  1  0 98  0  0
 4  0  65924 154985280  35632 797965888    0    0     0  3958 7854 4066  2  0 98  0  0
 4  0  65924 154521408  35632 797965888    0    0     0  2598 67024 16795 22  1 78  0  0
133  0  65924 154037344  35632 797965888    0    0     0    36 59510 14912 19  1 80  0  0
 6  0  65924 153355328  35632 797965888    0    0     0 11100 1272698 8514 39  3 58  0  0
 6  0  65924 153750176  35632 797976896    0    0     0     0 8474 3991  2  0 98  0  0
 4  0  65924 153748800  35632 797976896    0    0     0     0 6132 2593  2  0 98  0  0
 4  0  65924 153746416  35632 797976896    0    0     0   200 7271 4756  2  0 98  0  0
 4  0  65924 153746944  35632 797976896    0    0     0    66 7577 3616  2  0 98  0  0
 4  0  65924 153744992  35632 797976960    0    0     0     0 6500 3438  2  0 98  0  0
 6  0  65924 153742848  35632 797976960    0    0     0     0 5986 2559  2  0 98  0  0
 4  0  65924 153740720  35632 797976960    0    0     0     0 6645 3135  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0  65924 153758848  35632 797976960    0    0     0  1790 7478 3567  2  0 98  0  0
 4  0  65924 153757280  35632 797976960    0    0     0    18 6490 3404  2  0 98  0  0
 5  0  65924 153760560  35632 797976960    0    0     0     0 5628 2405  2  0 98  0  0
 4  0  65924 153759488  35632 797976960    0    0     0     0 5859 2676  2  0 98  0  0
 4  0  65924 153758592  35632 797976960    0    0     0     0 5901 2629  2  0 98  0  0
 4  0  65924 153756768  35632 797976960    0    0     0   229 7343 3591  2  0 98  0  0
