timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
2025/11/29 00:01:11.696, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 0 MiB
2025/11/29 00:01:16.698, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 419 MiB
2025/11/29 00:01:21.700, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 419 MiB
2025/11/29 00:01:26.701, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 419 MiB
2025/11/29 00:01:31.703, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 3689 MiB
2025/11/29 00:01:36.705, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 3775 MiB
2025/11/29 00:01:41.706, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 3775 MiB
2025/11/29 00:01:46.708, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 3775 MiB
2025/11/29 00:01:51.710, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 3777 MiB
2025/11/29 00:01:56.711, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4339 MiB
2025/11/29 00:02:01.713, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/11/29 00:02:06.714, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4373 MiB
2025/11/29 00:02:11.716, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4373 MiB
2025/11/29 00:02:16.718, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4373 MiB
2025/11/29 00:02:21.719, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:02:26.721, 0, NVIDIA A100-SXM4-80GB, 12 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:02:31.724, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:02:36.726, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:02:41.728, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:02:46.729, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:02:51.731, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:02:56.732, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:03:01.734, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:03:06.736, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:03:11.737, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:03:16.739, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:03:21.740, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:03:26.742, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:03:31.743, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:03:36.745, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:03:41.746, 0, NVIDIA A100-SXM4-80GB, 10 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:03:46.748, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:03:51.749, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:03:56.751, 0, NVIDIA A100-SXM4-80GB, 27 %, 5 %, 81920 MiB, 4375 MiB
2025/11/29 00:04:01.753, 0, NVIDIA A100-SXM4-80GB, 11 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:04:06.755, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4375 MiB
2025/11/29 00:04:11.757, 0, NVIDIA A100-SXM4-80GB, 9 %, 0 %, 81920 MiB, 4375 MiB
