procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 366724 190855616  35632 797967488    5    6    13    87    0    0  4  0 96  0  0
 3  0 366724 190600240  35632 797967488    0    0     0   193 36509 9010  5  0 94  0  0
 4  0 366724 190514848  35632 797967488    0    0     0    52 30998 5157  6  0 94  0  0
 3  0 366724 190495504  35632 797967488    0    0     0     0 14941 4868  3  0 97  0  0
 3  0 366724 190284976  35632 797975680    0    0     0   762 38422 6675  4  0 96  0  0
 4  0 366724 189786160  35632 797975680    0    0     0     3 18154 4893  3  0 97  0  0
 3  0 366724 188677200  35632 797975680    0    0     0     0 9053 3258  2  0 97  0  0
 3  0 366724 186999840  35632 797975680    0    0     0   164 26295 2993  2  0 98  0  0
 3  0 366724 186075552  35632 797975680    0    0     0   616 13896 3603  2  0 98  0  0
 5  0 366724 185512192  35632 797975744    0    0     0    76 8511 4291  2  0 98  0  0
 3  0 366724 184013088  35632 797975744    0    0     0   803 12303 3261  2  0 97  0  0
 4  0 366724 182305456  35632 797975744    0    0     0     3 7506 3018  2  0 98  0  0
 3  0 366724 181772976  35632 797975744    0    0     0     0 16886 4028  2  0 98  0  0
 3  0 366724 180937024  35632 797975744    0    0     0    92 10325 4240  2  0 97  0  0
 3  0 366724 179443920  35632 797975744    0    0     0    11 11249 5023  2  0 98  0  0
 3  0 366724 178011616  35632 797975744    0    0     0   108 8633 3813  2  0 98  0  0
130  0 366724 177957344  35632 797975744    0    0     0    21 22562 6082  4  0 95  0  0
130  0 366724 177480144  35632 797975744    0    0     0     0 121415 16171 22  1 78  0  0
130  0 366724 177029504  35632 797975744    0    0     0   316 65748 13203 16  1 84  0  0
 3  0 366724 176749120  35632 797975744    0    0     0    18 79858 12344 24  1 75  0  0
 3  0 366724 176584704  35632 797988992    0    0  2248     0 9217 3484  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 366724 176585088  35632 797988992    0    0     0     0 11758 3293  2  0 98  0  0
 3  0 366724 176585472  35632 797988992    0    0     0     0 19149 3156  2  0 98  0  0
 3  0 366724 176585408  35632 797988992    0    0     0     2 33834 3618  3  0 97  0  0
 3  0 366724 176585376  35632 797989056    0    0     0   140 9018 4265  2  0 98  0  0
 3  0 366724 176585456  35632 797989056    0    0     0     0 7478 2974  2  0 98  0  0
 4  0 366724 176584336  35632 797989056    0    0     0     0 19963 3463  3  0 97  0  0
 3  0 366724 176583776  35632 797989056    0    0     0     0 40970 2862  2  0 97  0  0
 3  0 366724 176584832  35632 797989056    0    0     0     0 10001 3509  2  0 98  0  0
 3  0 366724 176585440  35632 797989056    0    0     0     9 10638 4388  2  0 98  0  0
 4  0 366724 176584640  35632 797989056    0    0     0   107 7786 2835  2  0 98  0  0
 3  0 372100 176563616  35632 797988288    0 5576     4  5688 8003 2778  1  0 98  0  0
 4  0 374404 176591616  35632 797986368    0 2204     0  2481 16266 24807  1  0 98  0  0
 3  0 374404 176695200  35632 797988928    0    0     0    14 6683 2630  1  0 99  0  0
 4  0 374404 176573616  35632 797989568    0    0     0 347784 21690 4663  1  0 98  0  0
 3  0 374404 176575456  35632 797989120    0    0     0   134 7693 2931  2  0 98  0  0
 4  0 374404 176574944  35632 797989120    0    0     0     0 20874 4399  2  0 98  0  0
 3  0 374404 176575392  35632 797989120    0    0     0     0 9849 4206  2  0 98  0  0
 3  0 374404 176575216  35632 797989120    0    0     0   476 8072 3363  2  0 98  0  0
 3  0 374404 176574272  35632 797989120    0    0     0    12 7872 3945  2  0 98  0  0
 3  0 374404 176575680  35632 797989120    0    0     0 10103 58481 4511  3  0 97  0  0
 3  0 374404 176557200  35632 797989120    0    0     0    10 8647 3891  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 374404 176485088  35632 797989120    0    0     0     3 102376 6571  5  0 95  0  0
130  0 374404 176403744  35632 797989120    0    0     0     0 360205 15139 17  1 83  0  0
 4  0 374404 176402016  35632 797989120    0    0     0     7 303011 16684 19  1 81  0  0
 3  0 374404 176223408  35632 797989120    0    0     0    19 128298 13504 14  0 85  0  0
 3  0 374404 176086784  35632 797989120    0    0     0     0 186412 6201 20  1 80  0  0
 3  0 374404 176086864  35632 797989120    0    0     0     0 7286 2791  2  0 98  0  0
 3  0 374404 176083616  35632 797989120    0    0     0   119 8006 4230  2  0 98  0  0
 4  0 374404 176083104  35632 797989120    0    0     0     3 8845 3355  2  0 98  0  0
 7  0 374404 176055856  35632 797989120    0    0     0   193 23423 15951  3  0 97  0  0
 5  0 374404 176058112  35632 797989248    0    0     0  2995 21026 18637  3  0 97  0  0
 8  0 374404 176057504  35632 797989248    0    0     0     0 15565 15092  2  0 97  0  0
 5  0 374404 176052832  35632 797989248    0    0     0     0 17597 18233  3  0 97  0  0
 4  0 374404 176054128  35632 797989248    0    0     0  1488 13823 13607  2  0 98  0  0
 5  0 374404 176055712  35632 797989248    0    0     0     0 8515 2796  2  0 98  0  0
 4  0 374404 176056096  35632 797989248    0    0     0     0 9560 3591  2  0 98  0  0
 5  0 374404 176056176  35632 797989248    0    0     0   187 8877 3162  2  0 98  0  0
 5  0 374404 176065136  35632 797989248    0    0     0     0 9985 4465  2  0 98  0  0
 6  0 374404 176066544  35632 797989248    0    0     0   225 8364 2900  2  0 98  0  0
 5  0 374404 176070784  35632 797989248    0    0     0     3 15432 4867  2  0 98  0  0
 4  0 374404 176071616  35632 797989120    0    0     0     0 8597 3345  2  0 98  0  0
 4  0 374404 176071680  35632 797989120    0    0     0    44 8504 3870  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 374404 176073088  35632 797989120    0    0     0    76 8616 3316  2  0 98  0  0
 4  0 374404 176073312  35632 797989120    0    0     0     0 7197 3173  2  0 98  0  0
 5  0 374404 176072976  35632 797989120    0    0     0   630 21207 3113  2  0 98  0  0
 4  0 374404 176072032  35632 797989120    0    0     0     0 9033 3627  3  0 97  0  0
 3  0 374404 176073280  35632 797989120    0    0     0     0 7991 4162  2  0 98  0  0
 3  0 374404 176073280  35632 797989184    0    0     0   397 8155 3997  2  0 98  0  0
 3  0 374404 176073392  35632 797989184    0    0     0   141 9135 3879  2  0 98  0  0
92  0 374404 176073536  35632 797989184    0    0     0  4888 229706 15169 20  1 79  0  0
 3  0 374404 176073536  35632 797989184    0    0     0     0 119970 18393 23  0 77  0  0
 4  0 374404 176002192  35632 797989184    0    0     0     0 128895 10009 19  1 80  0  0
 3  0 374404 176000880  35632 797989184    0    0     0     0 9482 3960  2  0 98  0  0
 3  0 374404 176000464  35632 797989184    0    0     0   163 7869 3514  2  0 98  0  0
 3  0 374404 176009664  35632 797989184    0    0     0   181 11549 4802  3  0 97  0  0
 3  0 374404 176005056  35632 797989184    0    0     0     3 11404 4752  3  0 97  0  0
 4  0 374404 176004704  35632 797989184    0    0     0     0 16208 3652  3  0 97  0  0
 3  0 374404 176004784  35632 797989184    0    0     0     0 7633 3245  2  0 98  0  0
 3  0 374404 176005024  35632 797989184    0    0     0     0 7081 2578  2  0 98  0  0
 3  0 374404 176005168  35632 797989184    0    0     0   176 9197 4203  2  0 98  0  0
 3  0 374404 175357040  35632 798288576    0    0     0    72 7997 3415  2  0 98  0  0
 3  0 374404 176004528  35632 797989312    0    0     0 347784 13211 4517  2  0 98  0  0
 3  0 374404 176004720  35632 797989312    0    0     0     0 9213 3827  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 374404 176004800  35632 797989312    0    0     0     0 7657 3597  2  0 98  0  0
 3  0 374404 176005008  35632 797989312    0    0     0     2 16380 3250  2  0 98  0  0
 3  0 374404 176005088  35632 797989312    0    0     0     0 9419 3271  3  0 97  0  0
 3  0 374404 176005168  35632 797989312    0    0     0    96 10021 4267  2  0 97  0  0
 3  0 374404 176005280  35632 797989376    0    0     0     0 7819 3822  2  0 98  0  0
 4  0 374404 176005280  35632 797989376    0    0     0   133 7769 3377  2  0 98  0  0
 3  0 374404 176005408  35632 797989376    0    0     0     3 8964 3521  2  0 97  0  0
 3  0 374404 176005552  35632 797989376    0    0     0     0 7459 3957  2  0 98  0  0
 3  0 374404 176005472  35632 797989376    0    0     0    14 7832 3763  2  0 98  0  0
45  0 374404 176005504  35632 797989376    0    0     0    52 54356 6970  7  0 93  0  0
130  0 374404 176005680  35632 797989376    0    0     0     0 106679 15412 19  0 80  0  0
 3  0 374404 175992208  35632 797989376    0    0     0     0 62117 12850 16  0 83  0  0
 3  0 374404 175992224  35632 797989376    0    0     0   114 107812 10290 22  1 77  0  0
130  0 374404 175990384  35632 797989376    0    0     0   192 7299 3045  2  0 98  0  0
 3  0 374404 175990496  35632 797989376    0    0     0   398 8645 3002  2  0 98  0  0
 3  0 374404 175990560  35632 797989376    0    0     0    11 7455 2756  2  0 98  0  0
 3  0 374404 175990592  35632 797989376    0    0     0  3792 8572 3587  2  0 98  0  0
 3  0 374404 175990720  35632 797989376    0    0     0     3 8684 3862  2  0 98  0  0
 3  0 374404 175990432  35632 797989376    0    0     0    72 15835 3414  2  0 98  0  0
 3  0 374404 175991008  35632 797989376    0    0     0     0 7240 2790  2  0 98  0  0
 3  0 374404 175991072  35632 797989376    0    0     0     9 9301 3767  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 374404 175990960  35632 797989376    0    0     0     3 8391 4184  2  0 98  0  0
 3  0 374404 175991648  35632 797989376    0    0     0   136 8160 3422  2  0 98  0  0
 4  0 374404 175992064  35632 797989376    0    0     0    16 8332 3081  2  0 98  0  0
 3  0 374404 175992064  35632 797989376    0    0     0    68 7601 3292  2  0 98  0  0
 3  0 374404 175992096  35632 797989376    0    0     0     0 7276 2881  2  0 98  0  0
10  0 374404 175982496  35632 797989376    0    0     0    54 14824 5927  2  0 97  0  0
 4  0 374404 175967680  35632 797988928    0    0     0   260 31682 28929  2  1 97  0  0
 5  0 374404 175966000  35632 797988928    0    0     0     0 14558 15706  2  0 97  0  0
 5  0 374404 175963520  35632 797988928    0    0     0    32 15620 16029  3  0 97  0  0
 4  0 374404 175961968  35632 797988928    0    0     0  1722 14745 17427  2  0 97  0  0
 3  0 374404 175962672  35632 797988928    0    0     0     0 7797 3768  2  0 98  0  0
 3  0 374404 175963424  35632 797988928    0    0     0     0 8740 3752  2  0 98  0  0
 4  0 374404 175964528  35632 797988928    0    0     0    84 8036 3068  2  0 98  0  0
 3  0 374404 175963376  35632 797988928    0    0     0     0 31787 5795  5  0 95  0  0
130  0 374404 175955584  35632 797988928    0    0     0     9 105308 12894 15  0 84  0  0
 3  0 374404 175955712  35632 797988928    0    0     0   427 79215 15563 18  0 81  0  0
 3  0 374404 175898592  35632 797988928    0    0     0     0 119285 12719 24  1 74  0  0
 3  0 374404 175908768  35632 797988928    0    0     0     0 9231 3389  3  0 97  0  0
 3  0 374404 175908800  35632 797988928    0    0     0     0 9153 2966  2  0 98  0  0
 4  0 374404 175909392  35632 797988928    0    0     0     0 10874 4626  3  0 97  0  0
 3  0 374404 175909536  35632 797988928    0    0     0    18 7064 2660  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 374404 175909632  35632 797988928    0    0     0   705 7387 2724  2  0 98  0  0
 3  0 374404 175909632  35632 797988928    0    0     0     3 8612 3016  2  0 98  0  0
 3  0 374404 175888848  35632 797988992    0    0     0   399 11679 4649  2  0 98  0  0
 3  0 374404 175207472  35632 798326784    0    0     0    22 20599 3898  2  0 98  0  0
 3  0 374404 175900144  35632 797988864    0    0     0 350889 25923 6353  3  0 97  0  0
 3  0 374404 175882992  35632 797988864    0    0     0    18 8559 3211  2  0 98  0  0
 3  0 374404 175867600  35632 797988928    0    0     0     0 14214 7271  2  0 98  0  0
 4  0 374404 175878944  35632 797988864    0    0     0   314 12750 6439  3  0 97  0  0
 3  0 374404 175856800  35632 797988864    0    0     0     7 8700 4333  2  0 98  0  0
 3  0 374404 175858912  35632 797988864    0    0     0   100 10534 3738  2  0 98  0  0
 3  0 374404 175870432  35632 797988864    0    0     0    19 29545 7857  3  0 97  0  0
 4  0 374404 175848096  35632 797988864    0    0     0     0 20569 3247  2  0 97  0  0
 3  0 374404 175856608  35632 797988864    0    0     0   173 8669 3363  2  0 98  0  0
 3  0 374404 175883936  35632 797988928    0    0     0     3 21534 6938  3  0 97  0  0
 3  0 374404 175861024  35632 797988928    0    0     0     0 9055 3642  2  0 98  0  0
 4  0 374404 175847424  35632 797988864    0    0     0    64 8523 3226  2  0 98  0  0
 3  0 374404 175838144  35632 797988864    0    0     0     0 39438 8972 11  0 88  0  0
16  0 374404 175811232  35632 797988864    0    0     0     0 60529 15032 18  0 82  0  0
130  0 374404 175739008  35632 797988992    0    0     0  1498 72772 18391 22  0 77  0  0
 4  0 374404 175815840  35632 797989120    0    0     0     0 41441 4534 12  1 87  0  0
 4  0 374404 175795968  35632 797989120    0    0     0    48 21034 7879  3  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 374404 175832544  35632 797989120    0    0     0     0 11007 6022  2  0 98  0  0
18  0 374404 175808896  35632 797989120    0    0     0     0 9508 5339  2  0 98  0  0
 5  0 374404 175807472  35632 797989120    0    0     0     9 9689 4433  3  0 97  0  0
 4  0 374404 175807936  35632 797989120    0    0     0  1616 8124 3561  2  0 98  0  0
 5  0 374404 175802832  35632 797989568    0    0     0     3 10301 4212  3  0 97  0  0
 3  0 374404 175798224  35632 797989568    0    0     0   194 7859 3571  2  0 98  0  0
 4  0 374404 175831712  35688 797989632    0    0  4088   111 20803 10522  2  0 98  0  0
 3  0 374404 175830752  35688 797989760    0    0     0     0 17079 6680  3  0 97  0  0
 3  0 374404 175828160  35688 797989824    0    0     0  2243 12158 34483  2  0 98  0  0
 5  0 374404 175827568  35688 797989824    0    0     0     3 10934 48467  2  0 98  0  0
 3  0 374404 175810496  35688 798006400    0    0     0     0 12327 37412  3  0 97  0  0
 4  0 374404 175828288  35688 797989824    0    0     0   802 13071 17849  2  0 98  0  0
 4  0 374404 175814304  35688 797989888    0    0     0    19 19261 11538  3  0 97  0  0
 4  0 374404 175811728  35688 797989888    0    0     0  5637 10937 5092  3  0 97  0  0
 5  0 374404 175793888  35688 797989888    0    0     0    18 11161 5582  3  0 97  0  0
 4  0 374404 175776928  35688 797989888    0    0     0   400 10149 5355  3  0 97  0  0
 4  0 374404 175777360  35688 797989888    0    0     0    74 8060 3620  2  0 98  0  0
 3  0 374404 175827792  35688 797990080    0    0     0    44 14105 8993  2  0 98  0  0
131  0 374404 175820864  35688 797990208    0    0     0     0 38042 7528  6  0 93  0  0
132  0 374404 175819360  35688 797990400    0    0     0     0 129689 16472 18  1 81  0  0
130  0 374404 175818144  35688 797990400    0    0     0     0 80831 15176 17  1 82  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 374404 175808496  35688 797990528    0    0     0   612 148888 18091 31  1 68  0  0
 3  0 374404 175804432  35688 797990528    0    0     0   124 15502 7942  3  0 97  0  0
 4  0 374404 175752400  35688 797994048    0    0     0   727 49371 57057  4  1 95  0  0
 5  0 374404 175751184  35688 797995072    0    0     0   170 29289 22978  2  1 97  0  0
 5  0 374404 175694560  35688 797995072    0    0     0     7 23111 18000  2  0 97  0  0
 5  0 374404 175674368  35688 797995136    0    0     0  6255 18449 18292  3  0 97  0  0
 3  0 374404 175670496  35688 797995136    0    0     0    96 9532 7405  2  0 98  0  0
 3  0 374404 175605872  35688 797995136    0    0     0    76 8061 3813  2  0 98  0  0
 3  0 374404 175566080  35688 797995136    0    0     0     0 11187 4356  3  0 97  0  0
 3  0 374404 175576224  35688 797995392    0    0     0 348131 29927 6319  2  0 97  0  0
 3  0 374404 175575872  35688 797995392    0    0     0  1673 11926 3269  2  0 98  0  0
 3  0 374404 175568384  35688 797995392    0    0     0    13 12293 3687  3  0 97  0  0
 3  0 374404 175563648  35688 797995392    0    0     0     0 10346 5456  2  0 98  0  0
 3  0 374404 175560192  35688 797995392    0    0     0     0 7567 3288  2  0 98  0  0
 3  0 374404 175528816  35688 797995008    0    0     0    75 9532 4584  3  0 97  0  0
 3  0 374404 175519184  35688 797995008    0    0     0    19 7397 2888  2  0 98  0  0
 3  0 374404 175761088  35688 797995008    0    0     0   753 14024 5110  3  0 97  0  0
 3  0 375684 175733296  35688 797993664    0 1552     0  1560 23489 16240  2  0 98  0  0
 3  0 391556 175778848  35688 797992576    0 16352     0 16527 32361 32318  1  0 98  0  0
 4  0 391556 176064288  35688 797995264    0    0     4     0 10939 5910  1  0 99  0  0
 3  0 391556 175756016  35688 797995200    0    0     0     0 25628 14307  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0 391556 175754624  35688 797995136    0    0     0  2058 46839 13865  3  0 97  0  0
 4  0 391556 175749360  35688 797998848    0    0     0  1144 22192 6896  3  0 97  0  0
 3  0 391556 175746240  35688 797999168    0    0     0   644 20694 12471  2  0 98  0  0
130  0 391556 175740960  35688 797999744    0    0     0     0 130673 20173 19  1 81  0  0
 3  0 391556 175739248  35688 798000384    0    0     0     0 61411 15569 17  1 82  0  0
130  0 391556 175313184  35688 798000448    0    0     0    11 66966 16345 20  1 79  0  0
 3  0 391556 175759872  35688 798000576    0    0     0   223 25520 4128  7  1 92  0  0
 3  0 391556 175754192  35688 798000576    0    0     0  7857 10558 4998  2  0 97  0  0
 3  0 391556 175749536  35688 798000576    0    0     0     0 12449 4080  3  0 97  0  0
 3  0 391556 175746240  35688 798000576    0    0     0     0 10133 3173  2  0 97  0  0
 3  0 391556 175742816  35688 798000576    0    0     0     0 9253 2956  2  0 98  0  0
 3  0 391556 175739520  35688 798000576    0    0     0     0 10143 3917  2  0 97  0  0
 3  0 391556 175735840  35688 798000576    0    0     0    76 7978 3769  2  0 98  0  0
 3  0 391556 175732912  35688 798000576    0    0     0    18 7875 3189  2  0 98  0  0
 3  0 391556 175729424  35688 798000576    0    0     0     0 19529 3448  3  0 97  0  0
 4  0 391556 175726064  35688 798000576    0    0     0     1 8141 3436  2  0 98  0  0
 3  0 391556 175723680  35688 798000576    0    0     0     0 7827 3153  2  0 98  0  0
 3  0 391556 175721568  35688 798000576    0    0     0     0 9374 4182  2  0 97  0  0
 4  0 391556 175718176  35688 798000576    0    0     0   168 8970 3019  2  0 98  0  0
 4  0 391556 175713536  35688 798000576    0    0     0     9 8467 3876  2  0 98  0  0
 7  0 391556 175710336  35688 798000576    0    0     0    15 12712 4860  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0 391556 175708224  35688 798000640    0    0     0     0 8369 4623  2  0 98  0  0
 5  0 391556 175706080  35688 798000640    4    0     4     0 8484 3053  2  0 98  0  0
 4  0 391556 175703456  35688 798000768    0    0     0     0 9982 3764  2  0 97  0  0
 4  0 391556 175703984  35688 798000768    0    0     0   871 7842 3083  2  0 98  0  0
 4  0 391556 175698496  35688 798006016    0    0     0     0 9261 3475  2  0 97  0  0
 4  0 391556 175686224  35688 798015104    0    0     0   156 46821 8607  8  0 92  0  0
131  0 391556 175673888  35688 798022976    0    0     0     0 80698 13760 17  0 82  0  0
131  0 391556 175666080  35688 798026432    0    0     0     0 63188 13978 19  0 80  0  0
 4  0 391556 175658912  35688 798028288    0    0     0    22 56521 5569 17  1 82  0  0
 4  0 391556 175650896  35688 798030400    0    0     0  1182 8441 3387  2  0 98  0  0
 4  0 391556 175642656  35688 798032384    0    0     0    84 16863 4482  2  0 98  0  0
 4  0 391556 175635248  35688 798034560    0    0     0  5828 8226 3259  2  0 98  0  0
 4  0 391556 175628720  35688 798036224    0    0     0     0 18444 3764  3  0 97  0  0
 4  0 391556 175622592  35688 798038400    0    0     0     0 8980 3954  2  0 98  0  0
 4  0 391556 175386432  35688 798040320    0    0     0   226 8187 3763  2  0 98  0  0
