field,transform,mean,std,median,notes
stats.num_shots,log1p+z,1.4105930121941914,0.7667482252797401,1.0986122886681096,
stats.avg_shot_len_sec,log1p+z,2.3333750996872715,0.926970720321144,2.1709946726064486,
stats.cuts_per_30s,log1p+z,1.0662528795006998,0.9399742447983764,1.1278473615360918,
stats.movement_counts.static_shot,log1p+z,0.8738533179763476,0.7531256271651598,0.6931471805599453,
stats.movement_counts.pan_horizontal,log1p+z,0.3319089877483421,0.5536715634362454,0.0,
stats.movement_counts.tilt_vertical,log1p+z,0.34916101471122774,0.5514441826554877,0.0,
stats.movement_counts.dolly_in,log1p+z,0.302072386326245,0.5279620044267707,0.0,
stats.movement_counts.dolly_out,log1p+z,0.23944424562617533,0.4648443317859464,0.0,
stats.lighting.s_mean,z,0.278858995584989,0.1655278273581099,0.247,
stats.lighting.v_mean,z,0.49981181015452536,0.18643826370674565,0.519,
stats.lighting.v_std,z,0.2519599889624724,0.07062483116157037,0.25,
analysis.video_analysis.confidence_score,z,0.30238686534216336,0.033928951277125134,0.3,
rate_per_30s.dolly_in,z,0.5959410740342798,1.2805847667482924,0.0,movement rate
rate_per_30s.dolly_out,z,0.464609396172904,1.2117352823823349,0.0,movement rate
rate_per_30s.pan_horizontal,z,0.7050152882249809,1.4549236337724856,0.0,movement rate
rate_per_30s.static_shot,z,2.666092777819625,3.622485533244628,1.6795436906778123,movement rate
rate_per_30s.tilt_vertical,z,0.7990914166298528,1.7348728912244893,0.0,movement rate
rate_per_shot.dolly_in,z,0.12206894107262757,0.24695825786104844,0.0,movement rate
rate_per_shot.dolly_out,z,0.09094222880693043,0.21774757757867952,0.0,movement rate
rate_per_shot.pan_horizontal,z,0.12428929539560431,0.24153052741208367,0.0,movement rate
rate_per_shot.static_shot,z,0.48967728993951193,0.3918829806392285,0.5,movement rate
rate_per_shot.tilt_vertical,z,0.14145847351026403,0.2608623640311634,0.0,movement rate
