field,transform,mean,std,median,notes
stats.avg_shot_len_sec,log1p+z+clip,2.7951398981701168,0.9727375889016721,2.6923949614916367,clip_hi=149.1738
stats.cuts_per_30s,log1p+z+clip,0.7065764766148621,0.8315066119292269,0.3893357261782807,clip_hi=19.4792
flag.is_fast_rhythm,z,0.13309894525364138,0.33968163922415584,0.0,
flag.is_warm_tone,z,0.7553992968357609,0.42985020550861536,1.0,
flag.is_high_contrast,z,0.7227523857358111,0.4476397822457298,1.0,
flag.is_pan_horizontal,z,0.11752887995981919,0.32204944082424614,0.0,
flag.style_high_risk,z,1.0,1.0,1.0,
flag.style_low_risk,z,1.0,1.0,1.0,
rate_per_shot.pan_horizontal,z,0.12140498150632363,0.2503580298497656,0.0,movement rate
rate_per_shot.static_shot,z,0.4309395266154934,0.4253864013005314,0.3333333333333333,movement rate
