index,kind,field,value_or_transform
0,numeric_logz,stats.num_shots,log1p+z
1,numeric_logz,stats.avg_shot_len_sec,log1p+z
2,numeric_logz,stats.cuts_per_30s,log1p+z
3,numeric_logz,stats.movement_counts.static_shot,log1p+z
4,numeric_logz,stats.movement_counts.pan_horizontal,log1p+z
5,numeric_logz,stats.movement_counts.tilt_vertical,log1p+z
6,numeric_logz,stats.movement_counts.dolly_in,log1p+z
7,numeric_logz,stats.movement_counts.dolly_out,log1p+z
8,numeric_rate,rate_per_shot.dolly_in,z
9,numeric_rate,rate_per_shot.dolly_out,z
10,numeric_rate,rate_per_shot.pan_horizontal,z
11,numeric_rate,rate_per_shot.static_shot,z
12,numeric_rate,rate_per_shot.tilt_vertical,z
13,numeric_rate,rate_per_30s.dolly_in,z
14,numeric_rate,rate_per_30s.dolly_out,z
15,numeric_rate,rate_per_30s.pan_horizontal,z
16,numeric_rate,rate_per_30s.static_shot,z
17,numeric_rate,rate_per_30s.tilt_vertical,z
18,cat_single,analysis.video_analysis.editing_rhythm,unknown
19,cat_single,analysis.video_analysis.editing_rhythm,fast
20,cat_single,analysis.video_analysis.editing_rhythm,moderate
21,cat_single,analysis.video_analysis.editing_rhythm,slow
22,cat_single,analysis.video_analysis.editing_rhythm,very_fast
23,cat_single,stats.lighting.condition,unknown
24,cat_single,stats.lighting.condition,bright_sunny
25,cat_single,stats.lighting.condition,dim_low_light
26,cat_single,stats.lighting.condition,overcast_neutral
27,cat_single,analysis.video_analysis.color_tone,unknown
28,cat_single,analysis.video_analysis.color_tone,cool_tone
29,cat_single,analysis.video_analysis.color_tone,warm_tone
30,cat_single,analysis.video_analysis.lighting_style,unknown
31,cat_single,analysis.video_analysis.lighting_style,high_contrast
32,cat_single,analysis.video_analysis.lighting_style,medium_contrast
33,cat_single,analysis.video_analysis.lighting_style,soft_low_contrast
34,cat_multi,analysis.video_analysis.camera_movements,unknown
35,cat_multi,analysis.video_analysis.camera_movements,dolly_in
36,cat_multi,analysis.video_analysis.camera_movements,dolly_out
37,cat_multi,analysis.video_analysis.camera_movements,pan_horizontal
38,cat_multi,analysis.video_analysis.camera_movements,static_shot
39,cat_multi,analysis.video_analysis.camera_movements,tilt_vertical
40,cat_multi,analysis.video_analysis.overall_style,unknown
41,cat_multi,analysis.video_analysis.overall_style,cinematic_style
42,cat_multi,analysis.video_analysis.overall_style,documentary_style
43,cat_multi,analysis.video_analysis.overall_style,narrative_style
44,cat_multi,analysis.video_analysis.overall_style,solemn_mood
45,cat_multi,analysis.video_analysis.overall_style,warm_mood
