field,transform,mean,std,median,notes
stats.num_shots,log1p+z,1.271302457898802,0.7358304292508768,1.0986122886681096,
stats.avg_shot_len_sec,log1p+z,2.7960993207267184,0.9749836644998711,2.6923949614916367,
stats.cuts_per_30s,log1p+z,0.7107662466034109,0.8445947715901645,0.3893357261782807,
stats.movement_counts.static_shot,log1p+z,0.6621393585932268,0.6987719041575535,0.6931471805599453,
stats.movement_counts.pan_horizontal,log1p+z,0.28645515967569846,0.5084712374326098,0.0,
stats.movement_counts.tilt_vertical,log1p+z,0.2731519724036028,0.4941154194215441,0.0,
stats.movement_counts.dolly_in,log1p+z,0.2830073365045601,0.5218154093987767,0.0,
stats.movement_counts.dolly_out,log1p+z,0.22778157022115758,0.4573529195071393,0.0,
rate_per_30s.dolly_in,z,0.5317644324909979,1.3374595532222435,0.0,movement rate
rate_per_30s.dolly_out,z,0.39065137175861897,1.0654613842852971,0.0,movement rate
rate_per_30s.pan_horizontal,z,0.48609083675633447,1.249053038192679,0.0,movement rate
rate_per_30s.static_shot,z,1.3775227006707058,2.6847942770683293,0.5478851632697787,movement rate
rate_per_30s.tilt_vertical,z,0.5018557952848716,1.2361587675200774,0.0,movement rate
rate_per_shot.dolly_in,z,0.11695747322890795,0.24271471555687668,0.0,movement rate
rate_per_shot.dolly_out,z,0.08921201226280435,0.21068610530030532,0.0,movement rate
rate_per_shot.pan_horizontal,z,0.12140498150632363,0.2503580298497656,0.0,movement rate
rate_per_shot.static_shot,z,0.4309395266154934,0.4253864013005314,0.3333333333333333,movement rate
rate_per_shot.tilt_vertical,z,0.11910901354008371,0.251418573671364,0.0,movement rate
