vid,label,pred,wrong
7339164334095961387,1,0,1
7340038055409061125,0,0,0
7342010377930034440,1,1,0
7326719365640883499,0,0,0
7339829500890385695,0,0,0
7328089110101577006,0,0,0
7339194297801084166,1,1,0
7330753098408840494,0,0,0
7338507216074394886,1,0,1
7331324961799343390,1,1,0
7342405780252937515,0,1,1
7325273033332198702,1,1,0
7335066807658630433,1,1,0
7331168877818285354,0,0,0
7337480208469003562,1,0,1
7325415130240519430,1,0,1
7342634972420885790,1,0,1
7327370381390646570,0,0,0
7326627390904470816,0,1,1
7326669723268140330,0,0,0
7329574676500565294,1,1,0
7340856334868434222,0,0,0
7338884811194387718,0,0,0
7339693497705860394,0,0,0
7326994426515983658,1,0,1
7331053452157668651,1,1,0
7340817804225957150,0,0,0
7341058891318349086,0,0,0
7342446001271360814,0,0,0
7338422577783754016,0,0,0
7330299162799426859,1,1,0
7345395705533549867,0,0,0
7338740537400249633,0,0,0
7333081032591281438,1,1,0
7339076823210413344,0,0,0
7330430540274994478,1,1,0
7340842118685936938,1,0,1
7339199657668742446,1,1,0
7339755294462856494,1,1,0
7336204810158492961,0,0,0
7342542349744098603,0,1,1
7333390990729923882,0,0,0
7335121443799256350,0,0,0
7341113582106479874,0,0,0
7341196654902627614,0,0,0
7326363124204866859,1,0,1
7327504178362797354,0,0,0
7341194133228326146,0,0,0
7338251152527609130,0,0,0
7333633195046456622,0,0,0
7332154258269408517,1,1,0
7338589343415618858,0,1,1
7333686808426859818,0,0,0
7344725665977060654,0,0,0
7325604098147929390,1,1,0
7340493678093421870,1,1,0
7333850646103428394,0,0,0
7331788056099310891,0,0,0
7329153506500201770,1,1,0
7340657180854652206,1,1,0
7331430393725439238,0,0,0
7327651985983835435,1,1,0
7325900265675099422,0,0,0
7330025372689452318,0,0,0
7343997692424588586,1,1,0
7336328415051549998,0,0,0
7328165688550427946,0,0,0
7336183974550588704,0,0,0
7342329636711386398,0,1,1
7339554885928537374,0,0,0
